model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,exp_ttc_list,sim_ttc_list,exp_ttc_mean,sim_ttc_mean,exp_ttc_n,sim_ttc_n,sim_ttc_lo,sim_ttc_hi
mb_p,4.5,WT1,0,2019-12-20 09:06:56,103,0.5151100843600844,0.1375,0.8095454545454545,0.2,0.23271604938271603,0.0,1.0,0.0,0.3071883116883116,0.0,0.6666666666666666,0.4,0.382375478927203,0.0,1.0,0.6666666666666666,51,51;15;25;51;7;51;20;27;51;51;43;34;51;36;11;51;51;25;51;14;7;51;35;26;25;26;35;5;51;5;51;41;51;50;51;51;51;51;51;36;15;46;7;18;51;26;51;51;51;51;41;34;17;26;19;13;51;11;30;51;10;51;51;14;51;15;36;51;51;51;51;51;51;24;51;51;51;12;32;42;15;51;51;51;51;51;13;32;36;34;9;44;51;51;15;51;34;51;47;36,51.0,36.97,1,100,7.0,51.0
mb_p,4.5,WT2,0,2019-12-18 10:12:40,60,0.713595238095238,0.25,1.0,0.5,0.36640211640211645,0.0,1.0,,0.348772704958272,0.0,1.0,0.0,0.5021929824561403,0.0,1.0,,25,30;30;13;30;30;14;20;13;10;10;23;10;30;30;30;30;14;19;13;23;10;5;22;11;21;26;11;22;7;30;8;12;28;7;10;30;12;11;30;30;11;16;30;21;5;30;25;30;20;17;30;30;7;30;17;15;30;24;30;25;7;17;26;22;12;10;20;27;14;30;30;30;30;11;12;30;15;7;15;12;15;30;19;17;25;14;20;9;5;27;30;30;27;30;30;18;5;20;14;12,25.0,19.82,1,100,5.0,30.0
mb_p,4.5,WT3,0,2019-12-18 18:05:43,112,0.8252341547341545,0.5630952380952381,1.0,1.0,0.48272357723577236,0.0,1.0,1.0,0.6437031024531024,0.2669642857142857,1.0,0.8666666666666667,0.7435064935064936,0.0,1.0,,56,25;12;52;36;8;30;10;12;17;8;46;45;56;13;31;46;35;43;56;19;23;31;56;33;13;7;7;32;53;13;5;56;11;45;8;13;35;15;44;35;5;47;56;45;19;51;40;27;49;34;23;13;56;14;8;49;5;11;41;42;19;56;42;35;56;7;13;48;32;56;19;8;18;33;42;35;42;33;37;50;47;13;56;19;48;9;8;9;52;22;56;56;12;12;23;20;9;12;37;7,56.0,29.78,1,100,5.95,56.0
mb_p,4.5,WT4,0,2020-03-14 08:56:47,89,0.6559556277056277,0.386875,0.9174999999999998,0.3333333333333333,0.24031007751937983,0.0,1.0,0.5,0.3692950937950939,0.0,0.75,0.42857142857142855,0.4302197802197802,0.0,1.0,0.5,44,23;32;40;14;21;44;44;23;5;27;44;35;30;27;35;25;33;5;24;34;44;44;44;18;10;25;44;12;20;20;21;16;5;44;23;13;23;25;20;44;44;23;41;44;8;42;41;44;44;25;44;44;11;44;28;12;35;11;37;15;44;44;23;44;5;31;30;44;32;18;10;44;19;13;34;26;5;29;36;5;21;5;44;39;33;44;44;44;40;22;12;44;35;22;38;5;44;40;15;5,44.0,28.49,1,100,5.0,44.0
mb_p,4.5,WT5,0,2020-03-14 10:00:01,108,0.6790742313242313,0.30833333333333335,1.0,0.6666666666666666,0.18589743589743588,0.0,1.0,0.5,0.40478968253968256,0.0,0.8,0.6,0.47586206896551725,0.0,1.0,0.5,10,26;19;16;7;15;12;23;23;19;17;26;13;15;12;5;7;5;9;26;10;10;5;7;26;24;26;7;9;19;5;5;5;26;18;16;17;26;18;10;24;14;17;12;12;26;24;13;18;5;15;12;26;8;26;26;26;15;26;25;26;14;10;9;7;5;24;5;10;9;26;8;8;8;7;9;26;7;22;13;16;24;25;9;26;13;9;7;26;26;23;14;26;7;11;22;12;9;26;5;10;26;26;17;21;12;13;5;8;26;26;26;25;26;10;5;26;9;13,10.0,15.872881355932204,1,118,5.0,26.0
mb_p,4.5,WT6,0,2020-03-18 17:58:02,43,0.7429166666666667,0.09500000000000003,1.0,0.0,0.41145833333333337,0.0,1.0,,0.539273441335297,0.0,1.0,1.0,0.5919117647058824,0.0,1.0,,21,21;15;21;21;10;21;5;21;21;21;21;21;21;20;19;21;10;21;15;13;21;21;21;21;21;9;16;21;21;21;21;18;21;21;21;19;21;21;11;20;21;21;21;21;21;21;21;16;21;21;9;21;21;16;5;21;21;21;21;11;21;17;21;21;21;13;7;5;21;5;8;21;14;21;21;21;10;21;21;13;19;19;12;15;15;21;21;21;21;21;7;9;21;15;13;15;21;21;12;21,21.0,17.81,1,100,5.0,21.0
mb_p,4.5,WT6,1,2020-03-19 13:03:11,146,0.6777623430491075,0.40558823529411764,0.9193181818181817,0.4,0.34562123700054737,0.0,1.0,0.6666666666666666,0.48282846320346323,0.125,0.8386363636363633,0.6153846153846154,0.5206389289722624,0.0,1.0,0.3333333333333333,74,5;27;15;48;16;52;28;51;30;12;15;5;74;38;71;31;11;10;13;51;74;5;22;9;7;45;5;74;19;29;26;13;67;74;74;5;47;26;28;16;35;21;9;22;48;18;19;20;74;7;7;24;53;25;17;13;22;74;21;74;20;9;12;26;5;15;50;48;29;20;22;74;26;16;16;7;40;16;16;17;12;52;9;15;5;12;16;28;25;58;48;74;7;24;41;20;20;68;29;14,74.0,29.32,1,100,5.0,74.0
