model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,sim_ttc_mean,sim_ttc_lo,sim_ttc_hi,sim_ttc_n,exp_ttc_mean,exp_ttc_n
rac_p,4.3,WT1,0,2019-12-19 09:23:45,73,0.575,0.0,1.0,0.0,0.6,0.0,1.0,,0.4358974358974359,0.0,1.0,,0.7272727272727273,0.0,1.0,,6.0,6.0,6.0,2,,0
rac_p,4.3,WT2,0,2019-12-17 10:07:45,74,0.5076923076923077,0.0,1.0,0.0,0.375,0.0,1.0,,0.36792452830188677,0.0,1.0,1.0,0.34375,0.0,1.0,,,,,0,,0
rac_p,4.3,WT3,0,2019-12-17 18:00:17,100,0.6712328767123288,0.0,1.0,0.0,0.6060606060606061,0.0,1.0,0.0,0.4552845528455285,0.0,1.0,,0.6,0.0,1.0,,7.8,6.45,8.0,10,,0
rac_p,4.3,WT4,0,2020-03-13 09:07:24,88,0.37929824561403513,0.0,1.0,1.0,0.313953488372093,0.0,1.0,0.0,0.18956043956043955,0.0,1.0,0.0,0.3472222222222222,0.0,1.0,0.0,,,,0,,0
rac_p,4.3,WT5,0,2020-03-13 10:21:19,102,0.3558922558922559,0.0,1.0,0.25,0.38095238095238093,0.0,1.0,0.0,0.20340501792114693,0.0,1.0,0.0,0.37643678160919536,0.0,1.0,,,,,0,,0
rac_p,4.3,WT6,0,2020-03-17 18:03:02,91,0.5534979423868313,0.0,1.0,0.6666666666666666,0.37820512820512825,0.0,1.0,,0.21951219512195122,0.0,1.0,,0.5606060606060606,0.0,1.0,,7.3076923076923075,6.0,11.7,13,,0
