model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,sim_ttc_mean,sim_ttc_lo,sim_ttc_hi,sim_ttc_n,exp_ttc_mean,exp_ttc_n
rac_p,4.5,WT1,0,2019-12-20 09:06:56,103,0.48162243312243314,0.17386363636363636,0.7989898989898987,0.2,0.33150183150183143,0.0,1.0,0.0,0.2807748917748918,0.0,0.6666666666666666,0.4,0.46302681992337164,0.0,1.0,0.6666666666666666,,,,0,,0
rac_p,4.5,WT2,0,2019-12-18 10:12:40,60,0.6055753968253968,0.0,1.0,0.5,0.41699346405228765,0.0,1.0,,0.3322029822029822,0.0,1.0,0.0,0.49413145539906106,0.0,1.0,,,,,0,,0
rac_p,4.5,WT3,0,2019-12-18 18:05:43,112,0.7588100788100789,0.4135714285714286,1.0,1.0,0.6072796934865899,0.0,1.0,1.0,0.540763875013875,0.15416666666666667,0.9524999999999991,0.8666666666666667,0.7098484848484848,0.0,1.0,,,,,0,,0
rac_p,4.5,WT4,0,2020-03-14 08:56:47,89,0.5461637251637251,0.1825,0.8822916666666665,0.3333333333333333,0.35833333333333334,0.0,1.0,0.5,0.3164056221556221,0.0,0.75,0.42857142857142855,0.5197132616487455,0.0,1.0,0.5,,,,0,,0
rac_p,4.5,WT5,0,2020-03-14 10:00:01,108,0.5409903152403153,0.14479166666666665,0.9406249999999989,0.6666666666666666,0.3852083333333333,0.0,1.0,0.5,0.41033874458874464,0.0,0.8458333333333331,0.6,0.5578116639914392,0.0,1.0,0.5,,,,0,,0
rac_p,4.5,WT6,0,2020-03-18 17:58:02,43,0.7209475709475708,0.15000000000000005,1.0,0.0,0.5352112676056338,0.0,1.0,,0.5664310515873016,0.0,1.0,1.0,0.5939890710382514,0.0,1.0,,,,,0,,0
rac_p,4.5,WT6,1,2020-03-19 13:03:11,146,0.6119585419740219,0.3597222222222222,0.8386363636363633,0.4,0.3948148148148148,0.0,1.0,0.6666666666666666,0.4530967920967921,0.13166666666666665,0.75,0.6153846153846154,0.6178162330224185,0.0,1.0,0.3333333333333333,,,,0,,0
