model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,exp_ttc_list,sim_ttc_list,exp_ttc_mean,sim_ttc_mean,exp_ttc_n,sim_ttc_n,sim_ttc_lo,sim_ttc_hi
mf_p,4.2,WT1,0,2019-12-18 16:00:11,95,,,,,,,,,,,,,,,,,17,17;17;17;17;17;17;8;17;17;17;17;10;17;17;17;17;17;17;17;17;5;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;9;17;17;12;17;16;17;9;5;17;17;11;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;9;17;17;17;17;17;17;17;17;5;17;17;17;17;17;17;9;17;17;17;17;17;17,17.0,16.04,1,100,6.425000000000001,17.0
mf_p,4.2,WT2,0,2019-12-16 17:00:06,84,0.5569105691056909,0.0,1.0,,0.4791666666666667,0.0,1.0,1.0,0.2876712328767123,0.0,1.0,1.0,0.36666666666666664,0.0,1.0,0.0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.0,0.05,1,100,0.0,0.0
mf_p,4.2,WT3,0,2019-12-17 11:01:44,77,0.4916666666666667,0.0,1.0,1.0,0.7708333333333334,0.0,1.0,,0.46064814814814814,0.0,1.0,1.0,0.5172413793103449,0.0,1.0,,0,5;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.0,0.42,1,100,0.0,6.574999999999974
mf_p,4.2,WT4,0,2020-03-12 16:00:01,70,0.5259259259259259,0.0,1.0,0.0,0.59375,0.0,1.0,,0.3620689655172414,0.0,1.0,1.0,0.24358974358974358,0.0,1.0,,3,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,3.0,3.0,1,100,3.0,3.0
mf_p,4.2,WT5,0,2020-03-12 17:07:48,62,0.5641025641025641,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,,0.39215686274509803,0.0,1.0,,0.25,0.0,0.9249999999999998,,4,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,4.0,4.0,1,100,4.0,4.0
mf_p,4.2,WT6,0,2020-03-17 12:50:06,161,0.5750915750915752,0.0,1.0,1.0,0.5441176470588235,0.0,1.0,,0.45970695970695974,0.0,1.0,0.3333333333333333,0.5263157894736842,0.0,1.0,,10,10;10;10;10;10;10;10;10;10;10;10;10;10;5;10;10;10;10;10;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;9;10;10;10;10;10;10;5;10;9;10;10;10;10;10;10;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10,10.0,9.69,1,100,5.0,10.0
