model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,sim_ttc_mean,sim_ttc_lo,sim_ttc_hi,sim_ttc_n,exp_ttc_mean,exp_ttc_n
rac_p,4.7,WT1,0,2019-12-26 09:42:54,229,0.7672147577754356,0.6371081504702194,0.8943858560794042,0.7916666666666666,0.7035298141401083,0.4046875,1.0,0.625,0.6354906944115452,0.5103260869565217,0.7980612244897959,0.6756756756756757,0.7174407917503892,0.5,1.0,0.5789473684210527,31.69047619047619,6.15,67.0,84,24.0,1
rac_p,4.7,WT1,1,2019-12-27 09:25:53,197,0.748767404178445,0.5886674528301886,0.8936170212765957,0.6923076923076923,0.6711047571709335,0.25,1.0,0.75,0.6251204903497228,0.48541666666666666,0.8123529411764704,0.6170212765957447,0.7089414003609049,0.386875,0.9284615384615384,0.7142857142857143,26.19047619047619,8.0,42.0,63,,0
rac_p,4.7,WT1,2,2019-12-28 09:37:17,224,0.9179542429404534,0.8445701357466063,0.9923387096774192,0.8723404255319149,0.8582010824143177,0.6666666666666666,1.0,0.8571428571428571,0.834341459704953,0.7337033462033462,0.9170726102941176,0.8301886792452831,0.8888810550493313,0.7301515151515151,1.0,0.6666666666666666,29.973214285714285,6.0,60.224999999999994,112,12.0,1
rac_p,4.7,WT1,3,2019-12-30 09:23:18,168,0.7848265713402018,0.6611979166666666,0.9087144837144836,0.8648648648648649,0.6751283177606707,0.3477272727272727,1.0,0.4,0.6237989435234199,0.4754040948275862,0.7867187499999999,0.5,0.7324321724027607,0.4,1.0,0.7,27.180124223602483,6.0,55.0,161,31.0,1
rac_p,4.7,WT1,4,2019-12-31 09:49:32,263,0.7506291135929753,0.6295505935556812,0.860919540229885,0.8392857142857143,0.7025378750506459,0.4825,1.0,0.3,0.6491907163677096,0.5099939975990396,0.8061645136778115,0.6181818181818182,0.7404724884648561,0.4079166666666667,0.9200320512820512,0.4,12.26923076923077,6.0,18.375,26,,0
rac_p,4.7,WT1,5,2020-01-01 09:02:33,302,0.6910963330702014,0.5925,0.8191036036036036,0.704225352112676,0.5997703134050556,0.3333333333333333,0.8065625,0.3076923076923077,0.5502556983569563,0.42824746008708275,0.6725060096153846,0.5,0.6518117453967837,0.375,0.8841666666666664,0.75,27.08235294117647,6.0,53.775000000000006,170,19.0,2
rac_p,4.7,WT1,6,2020-01-02 09:19:31,297,0.7285555781061646,0.6269153225806452,0.8170454545454545,0.8043478260869565,0.6156199110094822,0.3998397435897436,0.875,0.3888888888888889,0.6233834145088825,0.49037180910099887,0.7484207459207458,0.6944444444444444,0.7119755703140579,0.5125,0.907034632034632,0.6086956521739131,25.31578947368421,6.0,45.175,114,28.5,2
rac_p,4.7,WT1,7,2020-01-03 09:14:07,266,0.8020526044457152,0.696685606060606,0.8880699282786885,0.828125,0.7409035412901511,0.5139705882352941,1.0,0.4,0.7066885302060975,0.5666254940711463,0.8148148148148148,0.723404255319149,0.7872901810552907,0.5263888888888889,0.9411764705882353,0.6875,29.555555555555557,7.800000000000001,71.0,117,44.0,2
rac_p,4.7,WT1,8,2020-01-04 09:15:57,344,0.6868455433126196,0.5275316455696203,0.7993765760717286,0.7906976744186046,0.5908625205770683,0.34464285714285714,0.8235294117647058,0.2631578947368421,0.5292851464271957,0.40506244424620874,0.6459627628786417,0.4745762711864407,0.6513431048474964,0.39192307692307693,0.8749019607843136,0.5909090909090909,30.93258426966292,8.0,74.72499999999997,178,16.0,3
rac_p,4.7,WT1,9,2020-01-06 09:09:05,279,0.827215697457557,0.7265029325513197,0.9105876865671642,0.8676470588235294,0.7598969873921413,0.47613636363636364,1.0,0.4375,0.7431978192253125,0.6103030303030302,0.8665151515151513,0.66,0.8102808250625252,0.5667410714285714,1.0,0.6875,23.58823529411765,6.0,63.44999999999996,187,13.666666666666666,3
rac_p,4.7,WT2,0,2019-12-28 11:25:17,354,0.6729394773381447,0.5688650747986191,0.7727721518987342,0.6666666666666666,0.6175464521653646,0.4,0.8154829545454545,0.4166666666666667,0.5489440533235972,0.4492424242424242,0.6712307692307691,0.5882352941176471,0.6578837174600817,0.4420108695652174,0.8587499999999999,0.6153846153846154,35.73295454545455,8.75,77.625,176,63.5,2
rac_p,4.7,WT2,1,2019-12-30 11:12:59,339,0.6148712804956771,0.5277854938271606,0.726681195516812,0.6666666666666666,0.5392731648326546,0.26319444444444445,0.75,0.1875,0.5042565199250804,0.3839762455328989,0.606203148425787,0.5,0.5695159402451683,0.2855392156862745,0.7757352941176469,0.68,35.893048128342244,6.0,88.39999999999998,187,50.333333333333336,3
rac_p,4.7,WT3,0,2019-12-30 13:00:32,208,0.6154560598476689,0.4530744680851064,0.747671568627451,0.6122448979591837,0.5136913505740905,0.16666666666666666,0.8095454545454545,0.5,0.5091977005825374,0.38217137592137596,0.6322916666666665,0.4523809523809524,0.5753800705228723,0.25686813186813184,0.8822916666666665,0.5555555555555556,27.928571428571427,7.125,46.0,56,41.0,1
rac_p,4.7,WT3,1,2019-12-31 13:21:37,274,0.7478146862374382,0.6134408602150537,0.8524378154289833,0.7936507936507936,0.6953960161355672,0.44559659090909093,0.9230769230769231,0.5833333333333334,0.660418425428274,0.5403194263363755,0.7666762013729976,0.6785714285714286,0.7170935780821533,0.42857142857142855,0.9166666666666666,0.625,27.296296296296298,6.0,70.325,108,33.0,1
rac_p,4.7,WT3,2,2020-01-01 13:07:32,350,0.7613125055449657,0.6723238855255916,0.8507514599793884,0.8505747126436781,0.6750700646121542,0.4636363636363636,0.8571428571428571,0.21428571428571427,0.6495721074717927,0.5378587830080367,0.7514747191011235,0.59375,0.7232846739134292,0.5439423076923077,0.9090909090909091,0.5652173913043478,29.951612903225808,6.0,86.64999999999998,248,31.0,3
rac_p,4.7,WT4,0,2020-03-21 09:12:39,259,0.6992364478005821,0.5642529087568892,0.8040384615384615,0.6724137931034483,0.6191144081236961,0.3333333333333333,0.8881249999999998,0.5833333333333334,0.5912268199291584,0.45526470588235296,0.7386387163561077,0.4838709677419355,0.6642905699339472,0.4369617224880383,0.8791958041958037,0.8571428571428571,41.234693877551024,7.275,90.02500000000002,98,115.0,1
