model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,exp_ttc_list,sim_ttc_list,exp_ttc_mean,sim_ttc_mean,exp_ttc_n,sim_ttc_n,sim_ttc_lo,sim_ttc_hi
hyb_p,4.4,WT1,0,2019-12-19 16:11:15,102,0.5357142857142858,0.0,1.0,0.3333333333333333,0.3584905660377358,0.0,1.0,,0.35,0.0,1.0,1.0,0.30392156862745096,0.0,1.0,0.5,0,0;11;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;9;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;5;0;0;0;0;11;10;10;0;0;0;10;0;0;0;5;5;5;5;0,0.0,1.3564356435643565,1,101,0.0,10.5
hyb_p,4.4,WT2,0,2019-12-17 17:00:01,58,0.7923076923076923,0.0,1.0,1.0,0.3076923076923077,0.0,1.0,,0.3181818181818182,0.0,1.0,0.0,0.5,0.0,1.0,,0,0;7;0;7;7;0;0;0;0;0;7;0;7;0;0;0;0;5;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;7;0;0;0;0;0;7;0;0;7;0;0;0;7;0;0;0;5;5;7;0;7;0;5;0;0;7;0;0;7;0;7;0;7;0;7;0;0;7;5;0;7;7;5;7;7;0;7;0;0;0;5;0;0;0;7,0.0,2.2,1,100,0.0,7.0
hyb_p,4.4,WT3,0,2019-12-18 11:15:07,82,0.787962962962963,0.0,1.0,0.0,0.4714285714285714,0.0,1.0,0.5,0.5672690763052209,0.0,1.0,1.0,0.5285714285714286,0.0,1.0,,0,5;0;9;11;0;0;10;0;9;0;0;0;0;0;0;0;7;0;0;7;0;0;0;10;0;0;9;0;0;9;0;0;0;0;0;0;7;10;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;9;0;0;0;0;11;0;0;5;0;9;7;0;0;0;0;11;0;11;0;0;0;0;5;0;0;0;0;0;11;0;8;0;11;5;5;0;0;0;0;0;0;0,0.0,2.28,1,100,0.0,11.0
hyb_p,4.4,WT4,0,2020-03-13 15:52:16,97,0.9124149659863945,0.5,1.0,1.0,0.5555555555555556,0.0,1.0,,0.7105263157894737,0.0,1.0,0.6666666666666666,0.6474358974358976,0.0,1.0,1.0,13,13;5;13;13;13;13;13;13;13;10;13;8;13;13;13;13;13;13;10;13;13;13;11;5;5;13;7;13;5;13;13;13;5;13;13;13;13;13;13;9;13;13;7;9;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;11;13;13;11;13;9;13;13;9;5;13;13;13;7;13;13;13;13;13;9;5;9;13;13;9;13;13;13;13;13;7;13;13;7;13;13;13;13;10;13;13,13.0,11.66,1,100,5.0,13.0
hyb_p,4.4,WT5,0,2020-03-13 17:01:07,67,0.6031746031746031,0.0,1.0,0.0,0.35294117647058826,0.0,1.0,,0.38405797101449274,0.0,1.0,0.0,0.42857142857142855,0.0,1.0,,5,5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,5.0,5.0,1,100,5.0,5.0
hyb_p,4.4,WT6,0,2020-03-18 13:23:48,141,0.7757731958762887,0.0,1.0,0.0,0.5294117647058824,0.0,1.0,1.0,0.40853658536585363,0.0,1.0,1.0,0.5697674418604651,0.0,1.0,,6,14;6;6;5;7;6;6;6;6;6;14;5;6;7;6;6;6;5;6;13;6;7;6;5;10;6;12;7;6;6;10;5;6;6;7;5;6;7;6;14;6;6;6;6;6;5;10;6;6;6;7;7;9;13;11;6;9;5;14;7;11;13;6;6;6;7;6;13;6;5;6;6;5;12;5;7;6;6;11;6;6;5;6;6;5;9;6;10;6;5;7;6;7;6;6;14;5;7;6;6;5;6;6;6,6.0,7.134615384615385,1,104,5.0,14.0
