model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,exp_ttc_list,sim_ttc_list,exp_ttc_mean,sim_ttc_mean,exp_ttc_n,sim_ttc_n,sim_ttc_lo,sim_ttc_hi
hyb_p,4.6,WT1,0,2019-12-20 16:00:06,97,0.670711735070465,0.46415441176470584,0.8361559139784946,0.11764705882352941,0.4418205377389052,0.0,1.0,0.5714285714285714,0.4401261745377609,0.1446969696969697,0.687254901960784,0.6428571428571429,0.5233611666111666,0.1375,0.855208333333333,0.0,73,16;53;9;5;11;73;53;30;9;41;53;29;13;54;66;45;23;9;22;51;10;69;69;7;11;5;19;37;73;7;11;17;65;12;73;31;26;25;15;40;73;73;35;55;27;73;10;73;73;11;73;28;55;43;28;10;52;36;9;51;73;34;7;8;10;18;20;12;7;12;30;28;37;23;66;31;45;8;23;47;5;45;5;9;41;51;27;73;24;18;11;5;7;5;15;12;49;50;66;51,73.0,32.83,1,100,5.0,73.0
hyb_p,4.6,WT1,1,2019-12-21 09:33:10,157,0.794128325577071,0.6571428571428571,0.920048019207683,0.5909090909090909,0.4399820179820179,0.0,1.0,0.3,0.47647104414555275,0.25,0.6581081081081079,0.5555555555555556,0.6393381898459297,0.3158333333333333,1.0,0.625,65,18;15;22;14;9;14;5;12;17;22;5;10;54;30;40;27;17;28;12;25;58;19;16;18;15;12;20;14;20;13;18;15;19;14;11;13;24;24;18;16;9;21;28;16;15;15;7;39;47;19;5;20;31;14;5;25;16;20;21;18;10;17;23;10;9;18;7;21;39;27;7;20;27;39;5;18;33;10;5;19;28;32;13;26;18;10;8;15;10;8;35;8;56;23;27;33;7;28;11;22;5;19;5;17;17;11;37;20;7;14;7;14;25;36;30;27;19;24;40;15;43;20;16;21;14;37;37;23;13;26;22;7;41;15;35;7;41;89;18;12;5;24;20;26;20;15;17;18;25;15;12;26;5;12;12;14;28;16;11;15;24;17;21;19;30;42;18;13;24;12;13;9;24;17;26;31;5;28;27;8;7;33;39;34;27;5;13;31;30;21;32;5;21;25;18,65.0,20.29230769230769,1,195,5.0,43.60000000000002
hyb_p,4.6,WT1,2,2019-12-23 09:30:55,215,0.6732858762328522,0.5146296296296295,0.7962815634728467,0.5,0.37334734056792884,0.13348214285714285,0.6718749999999992,0.3,0.44924179567779793,0.2713829787234043,0.6189743589743589,0.3953488372093023,0.5155319140783537,0.28154761904761905,0.80275974025974,0.6666666666666666,30;37,43;21;30;5;20;28;25;9;36;39;16;12;8;18;15;7;38;27;11;25;25;5;15;25;5;27;7;27;8;14;5;19;30;34;37;13;17;8;19;16;10;16;24;7;37;39;21;35;5;21;18;16;7;24;17;13;7;23;9;16;16;26;23;16;11;14;45;5;28;7;20;7;7;7;16;16;26;9;22;24;29;7;28;20;7;29;19;26;26;7;10;36;20;13;17;8;24;27;5;14;15;5;15;45;5;35;5;5;7;9;9;22;7;9;14;13;13;27;35;21;18;26;27;19;16;11;18;35;18;28;14;14;25;42;8;5;19;11;15;7;21;31;20;15;25;12;33;7;14;19;5;5;9;5;7;16;16;15;17;7;30;12;14;8;8;45;5;7;31;13;5;19;10;9;19;36;15;10;10;17;11;17;9;8;7;17;8;8;32;27;36;28;5;20;11;12;19;10;11;7;26;24;9;20;21;19;29;22;5;24;7;5;33;30;17;7;24;7;22;11;14;12;17;18;10;5;11;21;27;5;21;35;21;25;21;20,33.5,17.51271186440678,2,236,5.0,39.0
hyb_p,4.6,WT1,3,2019-12-24 09:39:26,207,0.7984859843286762,0.6759803921568627,0.8988461538461537,0.5370370370370371,0.43614618714618714,0.0,0.8,0.18181818181818182,0.5246936025541247,0.34125,0.6965051258154705,0.6052631578947368,0.612221197557397,0.40558823529411764,0.9333333333333333,0.5555555555555556,8;38;8,27;5;26;19;33;40;7;11;8;27;12;12;30;10;18;17;5;11;8;49;27;11;25;5;29;9;27;38;20;19;11;8;23;28;5;23;34;5;15;16;8;38;7;15;7;14;34;22;10;10;11;12;9;35;5;14;9;17;14;14;11;31;15;16;9;13;36;7;33;5;13;30;5;29;32;22;7;29;9;12;30;19;7;14;12;32;19;26;9;32;16;27;32;7;18;5;33;11;11;27;23;36;9;20;11;43;59;12;33;28;37;39;5;24;7;23;5;12;10;41;20;5;39;5;13;30;51;18;36;5;26;16;10;8;25;10;16;5;44;27;37;14;16;9;17;13;13;12;16;20;14;15;7;35;10;45;33;5;39;10;13;5;19;9;13;33;15;12;5;30;30;9;27;35;10;18;13;24;5;31;21;12;8;10;8;18;10;9;14;63;34;10;38;11;13;20;10;13;33;50;33;58;18;22;7;21;10;19;60;38;7;8;41;5;33;5;43;7;42;10;45;37;9;11;20;8;36;15;38;5;43;7;19;5;19;47;5;27;7;28;5;12;32;45;11;18;31;22;11;8;5;48;14;12;5;30;7;40;36;18;8;5;32;11;25;5;18;5;20;11;44;5;8;5;12;23;51;10;31;33;7;18;36;32;32;36;10;11;22;9;44;8;23;7;17;38;25;5;14;35;36;5;11;51;13;12;30;11;28;40;19;15;26;5;20;8;25,18.0,19.905362776025235,3,317,5.0,49.099999999999966
hyb_p,4.6,WT1,4,2019-12-25 09:38:22,247,0.8177411446233371,0.6956340799031477,0.9063049853372434,0.6417910447761194,0.5087782677848467,0.1757692307692308,0.8261363636363636,0.3333333333333333,0.526201092345655,0.3888888888888889,0.6801564722617354,0.5116279069767442,0.6636634161761872,0.41617647058823526,0.9034722222222219,0.6363636363636364,16;52;14;36,56;40;12;15;11;13;8;11;5;12;36;11;13;10;11;30;51;44;16;17;5;12;9;17;29;7;18;7;27;31;5;17;28;57;17;10;15;5;15;17;48;33;5;52;12;14;10;17;40;10;28;38;33;7;18;45;16;22;8;8;11;25;8;43;8;15;5;19;49;40;41;59;24;5;22;11;19;5;41;7;18;34;7;24;14;19;28;5;17;34;55;31;10;20;7;19;35;5;18;10;19;16;12;23;12;5;23;21;25;9;38;21;19;9;23;23;34;5;24;8;13;9;11;5;12;5;24;41;5;8;33;16;11;12;30;8;20;5;12;18;11;33;7;14;13;29;7;18;17;18;15;32;9;15;8;17;27;5;40;12;21;33;5;8;35;5;19;7;19;5;18;8;13;9;20;5;18;40;15;18;12;17;39;37;5;10;8;13;8;18;21;17;8;24;16;32;5;18;21;18;5;23;5;14;9;16;7;21;13;14;11;33;27;22;22;14;13;7;15;9;11;5;23;34;27;8;15;37;7;14;30;18;13;5;28;41;39;9;11;16;14;38;5;18;5;20;38;5;10;5;18;8;22;7;11;5;12;7;16;7;17;13;18;7;18;11;17;21;17;26;13;13;5;19;42;11;19;5;14;9;19;10;27;5;26;19;15;7;15;9;9;42;10;19;5;18;7;34;38;36;7;35;7;18;7;19;17;14;7;10;31;36;32;5;30;9;20;5;35;12;14;9;21;10;28;55;9;39;18;23;29;5;20;13;12,29.5,18.182089552238807,4,335,5.0,46.94999999999993
hyb_p,4.6,WT2,0,2019-12-18 17:03:09,96,0.6991234115135414,0.42134387351778657,0.9031249999999995,0.42857142857142855,0.33618065783014234,0.0,1.0,0.0,0.37218311146982563,0.13333333333333333,0.630965909090909,0.5217391304347826,0.5138910533910535,0.0,0.855208333333333,0.6666666666666666,65,25;9;24;12;7;9;26;38;36;14;26;20;48;9;10;12;0;12;39;13;9;51;21;10;9;16;21;38;14;15;13;7;28;8;7;15;20;37;29;9;0;24;18;46;34;12;31;5;5;14;7;7;53;15;26;9;46;9;26;0;5;21;9;58;19;9;30;13;22;22;24;34;25;12;13;46;0;7;12;13;30;20;39;37;54;24;20;17;28;40;7;21;24;19;14;16;14;24;70;62,65.0,21.27,1,100,0.0,56.099999999999966
hyb_p,4.6,WT2,1,2019-12-19 10:20:58,64,0.7659547445429048,0.5139705882352941,0.9621048850574713,0.4666666666666667,0.40567765567765574,0.0,1.0,0.6,0.406933707632237,0.0,0.7142857142857143,0.6153846153846154,0.6491179653679654,0.0,1.0,0.0,48,19;12;25;13;11;16;11;48;19;11;19;12;34;5;11;5;24;13;13;16;21;9;30;46;22;7;5;9;45;16;11;9;38;11;7;40;41;12;19;16;9;11;5;9;43;8;21;9;15;7;11;21;30;9;7;8;5;13;5;7;8;16;12;13;21;20;39;43;22;48;17;13;14;9;13;17;30;37;5;32;10;13;17;5;7;11;8;22;10;48;7;5;5;48;30;8;23;11;13;23,48.0,17.57,1,100,5.0,48.0
hyb_p,4.6,WT2,2,2019-12-19 17:05:45,115,0.7022884997023796,0.4885869565217391,0.875,0.43478260869565216,0.3872496392496393,0.0,1.0,0.6666666666666666,0.4594886983591685,0.25625,0.6859375,0.5333333333333333,0.5450836940836941,0.17,0.8174999999999998,0.5714285714285714,46,9;47;17;10;7;28;18;31;21;87;12;15;24;32;31;87;64;87;5;15;24;8;27;18;36;7;21;5;18;27;15;30;10;5;28;9;29;21;13;21;22;50;35;18;49;28;11;8;16;9;21;12;19;76;5;29;11;25;75;7;16;74;20;9;19;15;21;13;21;22;9;24;14;19;5;22;22;47;19;26;16;14;27;16;27;16;7;31;19;9;31;33;22;5;16;29;70;11;12;22;27;27;21;31;10;20;7;13;15;19;27;9;21;18;13;28;87;25;13;31;22;41;23;67;12;17;12;34;27;26;15;54;10;20;15;8;29;37;12;15;20;20;20;19;27;5;17;13;9;37;14;7;19,46.0,23.529411764705884,1,153,5.0,78.19999999999987
hyb_p,4.6,WT2,3,2019-12-20 10:14:50,104,0.8269748536441673,0.648492286115007,0.9444444444444444,0.5294117647058824,0.45596452866861026,0.0,1.0,0.75,0.4770641883654402,0.21676470588235294,0.7171122994652405,0.4444444444444444,0.6514130869130867,0.30833333333333335,1.0,0.5555555555555556,31,12;35;8;12;11;5;23;19;21;32;15;24;32;7;17;17;29;9;16;36;19;7;70;22;10;38;28;9;25;5;16;14;11;20;21;51;10;11;5;20;21;38;20;17;11;15;32;21;24;9;15;68;7;12;28;5;13;7;22;8;23;30;29;9;28;11;30;7;14;51;9;23;29;15;23;37;11;16;12;5;24;12;14;21;19;23;8;18;11;5;32;12;17;21;35;26;13;31;34;23;22;24;10;18;9;12;28;19;7;18;24;25;12;11;7;20;49;5;12;15;7;18;9;15;7;8;7;22;15;19;7;13;55;31;13;32;19;9;18;9;22;7;13;35;20;9;12;12;16;25;17;9;18;39;20;11;22;7;16;7;26;18;19;9;20;36;13;23;9;23;24;5;13;7;25;7;18;7;29;21;20;8;28,31.0,18.693989071038253,1,183,5.0,49.89999999999998
hyb_p,4.6,WT2,4,2019-12-20 17:00:08,104,0.8237163848343982,0.67925,0.9365423387096774,0.4230769230769231,0.5605579605579605,0.0,1.0,0.6,0.56745279030171,0.3477272727272727,0.7645833333333331,0.7727272727272727,0.7108394105894107,0.2895833333333333,1.0,,32,57;18;54;29;22;24;11;7;16;12;25;37;28;15;20;10;17;21;25;10;23;16;16;33;28;23;21;19;25;37;20;13;29;34;22;21;10;5;12;14;9;30;30;12;10;34;17;9;13;5;45;26;20;53;9;13;24;13;26;23;32;15;10;10;16;5;11;22;13;14;15;9;10;15;32;16;25;33;15;18;25;47;11;18;15;20;26;9;17;25;30;19;11;17;59;31;29;33;12;15;24;36;12;23;13;14;28;29;16;32;8;19;18;9;29;34;25;15;12;13;12;17;29;25;25;12;14;15;34;15;16;11;28;32;24;14;31;12;15;27;25;23;29;16;26;37;8;17;10;22;9;14;13;8;25;13;24;22;35;19;5;16;7;27;35;18;12;11;17;29;9;30;10;14;5;17;21;17;39;32;5;22,32.0,20.412087912087912,1,182,5.0,45.94999999999999
hyb_p,4.6,WT2,5,2019-12-21 11:14:23,189,0.7465620914008823,0.6024001037882719,0.8833333333333333,0.45161290322580644,0.49678438228438226,0.2,0.9406249999999989,0.9285714285714286,0.4763255210578794,0.33879310344827585,0.6513184584178499,0.5434782608695652,0.6015245315829681,0.2969117647058824,0.8783333333333332,0.3333333333333333,141,14;21;20;8;29;17;15;26;24;16;9;41;12;5;21;15;11;16;15;75;14;12;17;8;25;12;17;18;12;18;66;24;13;9;7;5;16;9;14;47;32;40;7;40;23;62;47;17;28;40;21;22;24;61;8;18;28;118;40;24;34;28;13;13;17;89;14;36;37;19;8;5;5;52;5;13;15;100;19;16;26;11;34;73;5;29;39;7;43;26;25;16;20;16;12;11;11;7;12;8,141.0,24.42,1,100,5.0,82.34999999999988
hyb_p,4.6,WT2,6,2019-12-23 11:36:56,271,0.6779725867863499,0.5,0.7875958047599838,0.515625,0.35224387703799465,0.10527777777777778,0.6450630252100841,0.125,0.39536017214150837,0.24732142857142858,0.5671396396396396,0.39215686274509803,0.5131587695369497,0.2738721804511278,0.7798582995951415,0.6,37;53;43,14;18;17;15;14;17;14;20;17;11;13;5;19;70;27;46;14;22;17;28;13;15;9;15;19;18;70;14;46;29;38;12;11;52;18;19;8;27;26;11;39;27;17;32;42;28;14;26;8;28;55;29;15;12;21;15;19;5;19;23;21;20;32;38;21;25;12;17;16;7;19;22;13;30;18;17;13;15;8;28;29;23;97;11;33;23;23;16;17;21;38;25;30;31;54;24;20;7;37;13;45;10;15;17;32;12;22;14;11;43;21;9;75;12;8;45;22;31;24;13;15;27;12;17;17;97;14;13;58;15;39;32;22;5;42;19;16;32;43;76;30;20;46;24;18;10;12;18;29;21;20;14;7;10;39;14;10;17;20;24;20;9;18;54;17;21;21;18;16;21;27;21;15;13;9;10;15;10;18;12;8;23;11;15;15;18;34;37;22;7;40;63;9;77;21;8;19;9;38;20;18;25;38;17;22;21;10;16;32;11;44;78;20;23;12;18;22;8;19;15;25;23;14;21;47;14;9;34;13;15;9;30;23;14;58;16;20;10;37;10;33;11;14;5;23;11;12;39;46;27;18;9;71;22;24;10;14;19;14;15;28;30;48;14;13;15;18;13;19;46;50;21;14;27;15;21;47;23;42;17;32;13;54;7;24;12;17;8;19;15;13;14;45;76;72;17;17;23;24;22;35;7;22;19;19;5;19;24;34;11;17;21;10;35;18;23;39;19;9;20;24;10,44.333333333333336,23.332298136645964,3,322,7.0,70.97499999999997
