model,stage,subject,session_idx,date,n_trials,sim_stay_rew_com_mean,sim_stay_rew_com_lo,sim_stay_rew_com_hi,exp_stay_rew_com,sim_stay_rew_rare_mean,sim_stay_rew_rare_lo,sim_stay_rew_rare_hi,exp_stay_rew_rare,sim_stay_unrew_com_mean,sim_stay_unrew_com_lo,sim_stay_unrew_com_hi,exp_stay_unrew_com,sim_stay_unrew_rare_mean,sim_stay_unrew_rare_lo,sim_stay_unrew_rare_hi,exp_stay_unrew_rare,sim_ttc_mean,sim_ttc_lo,sim_ttc_hi,sim_ttc_n,exp_ttc_mean,exp_ttc_n
rac_p,4.4,WT1,0,2019-12-19 16:11:15,102,0.4525510204081633,0.0,1.0,0.3333333333333333,0.34420289855072467,0.0,1.0,,0.30314814814814817,0.0,1.0,1.0,0.29166666666666663,0.0,1.0,0.5,10.25,6.0,16.825,8,,0
rac_p,4.4,WT2,0,2019-12-17 17:00:01,58,0.3880597014925373,0.0,1.0,1.0,0.2647058823529412,0.0,1.0,,0.1597222222222222,0.0,1.0,0.0,0.08333333333333333,0.0,0.7249999999999996,,,,,0,,0
rac_p,4.4,WT3,0,2019-12-18 11:15:07,82,0.525,0.0,1.0,0.0,0.5087719298245614,0.0,1.0,0.5,0.31798245614035087,0.0,1.0,1.0,0.5853658536585366,0.0,1.0,,6.0,6.0,6.0,5,,0
rac_p,4.4,WT4,0,2020-03-13 15:52:16,97,0.5833333333333333,0.0,1.0,1.0,0.5260416666666667,0.0,1.0,,0.4118556701030928,0.0,1.0,0.6666666666666666,0.5256410256410255,0.0,1.0,1.0,,,,0,,0
rac_p,4.4,WT5,0,2020-03-13 17:01:07,67,0.3951612903225806,0.0,1.0,0.0,0.4473684210526316,0.0,1.0,,0.2077922077922078,0.0,1.0,0.0,0.5,0.0,1.0,,,,,0,,0
rac_p,4.4,WT6,0,2020-03-18 13:23:48,141,0.7092198581560284,0.0,1.0,0.0,0.4666666666666667,0.0,1.0,1.0,0.45,0.0,1.0,1.0,0.644927536231884,0.0,1.0,,9.08695652173913,6.0,14.0,23,6.0,1
