subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,alpha_mean,alpha_std,tmp_mean,tmp_std,P_mean,P_std
WT1,10,2569,0.4787372322027531,0.0358412027268524,123.17726538494301,28.294564930313147,0.36643904757702983,0.05117238871851186,1.5607206281037256,0.23722365503288484,1.2365241369092888,0.6092262693539834
WT2,2,693,0.5143411327555907,0.01742793641552546,178.12677690965086,0.5833684257598419,0.3418119903345872,0.052197208265131856,1.258586964762197,0.16096976872565888,0.5237433294639646,0.2027885106053917
WT3,3,832,0.5040161274937817,0.022365418728719062,138.72114494989623,29.52896269572945,0.3544146481257226,0.021391449155920776,1.2551051388036043,0.17663862028446936,1.0557278776385364,0.6829407415432394
WT4,8,2602,0.518348355405293,0.006678174627057547,168.5873547603363,30.908351401928382,0.3272006828243035,0.03340956514744062,1.1620062946912122,0.23896582131844918,0.826490722696935,0.14214837302128766
WT5,5,1535,0.49064656170068066,0.023700544442305065,151.07290295881432,29.587699260860646,0.3839186963351205,0.050136186450735316,1.605881067625886,0.3235555649971651,0.788030244142613,0.23246209846195415
WT6,7,2371,0.4525758948583975,0.041817597366418685,154.01192192913976,32.08882426493421,0.34447192543984223,0.02266136699486757,1.609525869437077,0.4519549088154112,1.5306948420337687,0.15452865301825244
