subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,Wmb_mean,Wmb_std,P_mean,P_std
WT1,11,3720,0.4109013029322689,0.030793714785863558,138.82939178309456,12.450836866543817,0.4126854975095957,0.09714035309390824,0.5888661454374965,0.053604726051158,0.4786607698125074,0.04703530331974204,2.601826151586358,0.38899398769502785,3.9189361552922675,0.3762307712118113,0.2893571960042658,0.27702918358985085
WT2,17,7278,0.41937322979750774,0.04355986875013612,178.95164028610813,17.661178118482276,0.31386972534075636,0.08829220266706489,0.5501802091767399,0.07709212402006996,0.46098391807119976,0.029440789941514653,2.936538757088804,0.5609614311481556,4.14280664237468,0.6562878516274492,0.20513605397445345,0.28983692303473313
WT3,14,5274,0.4418009179457925,0.03305821314148758,166.05383595872084,11.528336448532022,0.2426570355592991,0.040644878339307855,0.5534258263550526,0.04203818305191725,0.4449444177041551,0.023073648203252844,3.3082235167361023,0.36001234817160205,3.9214537865389607,0.3203977147581702,0.41151932521810414,0.29134393822650473
WT4,15,6549,0.39789242078720743,0.047367004021608546,173.23619715066226,23.78024755569029,0.29282667521588546,0.054718808590829296,0.5074455802319172,0.08309200071999184,0.4677995760508173,0.03372076744801511,3.283752361907511,0.5227343008385269,4.227477541390488,0.679265994562103,0.3292714338756044,0.3263295673955949
WT5,16,5834,0.43836394103096543,0.024775297125477557,159.6531039327556,22.53983306013483,0.3155085428301034,0.06538802033471736,0.561866394976479,0.053225604687459425,0.48691569749814145,0.03174580517751217,3.0391088619145123,0.3351193299960825,3.4687666022597607,0.2426185487447195,0.4474168750687011,0.2678065133389414
WT6,16,6302,0.3501149002460159,0.030987094438058346,137.59774240973974,16.288483641030112,0.3590757333421166,0.04837887313020257,0.5610044269512034,0.07382416774349893,0.5105760686685857,0.038359897533313994,3.6178925245097564,0.5250336372218358,3.63909720760619,0.2806083423662722,0.9792116327883136,0.3792908388630666
