subject,session_idx,date,stage,model,WBIC,n_trials,alpha,tmp,P
WT1,0,2019-12-20 09:06:56,4.5,rac_p,38.779166410227646,103,0.3604434619683245,1.1820198615044581,-0.9076933806512139
WT2,0,2019-12-18 10:12:40,4.5,rac_p,22.659063512518458,60,0.4406243985938424,1.7185534237755036,-0.265077117538673
WT3,0,2019-12-18 18:05:43,4.5,rac_p,42.47751615424864,112,0.3816838874234403,0.8585457892680496,1.5346868377892497
WT4,0,2020-03-14 08:56:47,4.5,rac_p,33.713682590221076,89,0.39970415635103895,1.4147939700094874,-0.4792675581150613
WT5,0,2020-03-14 10:00:01,4.5,rac_p,42.001696577057274,108,0.39398705264274136,1.0191888223103813,-0.29542399253847185
WT6,0,2020-03-18 17:58:02,4.5,rac_p,18.396737870017127,43,0.3929651253529852,1.2724757947522152,0.78902709403944
WT6,1,2020-03-19 13:03:11,4.5,rac_p,56.84806799604914,146,0.3938587779464733,0.8679603622846389,0.05137723391164025
