subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT1,0,2019-12-20 16:00:06,4.6,hyb_p,56.966981634909516,97,0.12389581803251785,0.6191237200323904,0.447113632148471,3.9569227518328827,3.155341368065594,-0.4271229951793137
WT1,1,2019-12-21 09:33:10,4.6,hyb_p,83.60978362307668,157,0.17515527252939084,0.5654788217615015,0.4367800838853531,3.9192228661328428,3.5361645519928566,-0.30792101908233027
WT1,2,2019-12-23 09:30:55,4.6,hyb_p,116.51999455552952,215,0.154748791753928,0.5905101077017236,0.46166409586496276,3.5812692961826476,3.006511172353825,-0.6249654962617561
WT1,3,2019-12-24 09:39:26,4.6,hyb_p,106.29902613015457,207,0.1859139578473724,0.6113803381125363,0.44613409197453696,3.44853085811857,3.459360865391287,-0.24873735626711063
WT1,4,2019-12-25 09:38:22,4.6,hyb_p,126.62677383481042,247,0.19193691746715907,0.4685226539064026,0.49433488030920597,3.3811414499696273,3.0197429854109394,-0.13988490276830573
WT2,0,2019-12-18 17:03:09,4.6,hyb_p,53.959027748464585,96,0.14695814988248734,0.5385894729431031,0.44619906805286547,3.550913711467088,3.2693798546819224,-1.023364975970078
WT2,1,2019-12-19 10:20:58,4.6,hyb_p,38.27962818507633,64,0.1894095369294527,0.6166290299545241,0.47094793490756076,3.8129309300763223,3.027253882821602,-0.682963452702437
WT2,2,2019-12-19 17:05:45,4.6,hyb_p,64.37217046389898,115,0.13572644932010866,0.5235127520744071,0.4439810344917056,3.6484255090614712,3.4450100286316103,-0.6011171536140275
WT2,3,2019-12-20 10:14:50,4.6,hyb_p,58.68347017807811,104,0.21382466141989934,0.5515983258860618,0.46136612652953,3.7974182625571835,3.0999724210671062,-0.37011434211899763
WT2,4,2019-12-20 17:00:08,4.6,hyb_p,56.60432132801588,104,0.1501832455814429,0.538784565155822,0.4498170599588724,4.057239368485484,3.011498914836367,0.2748378176510122
WT2,5,2019-12-21 11:14:23,4.6,hyb_p,104.70316930750636,189,0.14496903300318179,0.6353677530846088,0.45481974321930363,4.034860858384183,2.7958253880861426,-0.20742430706962017
WT2,6,2019-12-23 11:36:56,4.6,hyb_p,140.83908627870187,271,0.15602695169733113,0.5115519450625184,0.451212888888596,3.5044963979021,3.222080742728217,-1.0671636597882737
