subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,alpha_mean,alpha_std,tmp_mean,tmp_std,P_mean,P_std
WT1,1,95,0.1941813360358689,,18.447226923407545,,0.4643443535097903,,2.155142255543152,,-0.4534979480407696,
WT2,1,84,0.22819274702467074,,19.16819075007234,,0.4189864911191321,,1.624191988998108,,-0.0502187773052496,
WT3,1,77,0.18319274804342583,,14.105841599343789,,0.4553778689140044,,2.6672085046253566,,0.3749701410157935,
WT4,1,70,0.21508020750205256,,15.05561452514368,,0.4759528216529521,,2.150090017329769,,-0.4448327318429111,
WT5,1,62,0.21684442522030184,,13.444354363658714,,0.4067902034169391,,2.170107281227668,,-0.2496736618215968,
WT6,1,161,0.19696344532441418,,31.71111469723068,,0.421816972740842,,1.561112150532272,,0.313473601917497,
