subject,n_sessions,WBIC_mean,WBIC_std,p_r_mean,p_r_std,eps_mean,eps_std
WT1,1,12.823772325657949,,0.5316717048957073,,0.2759725084403103,
WT2,1,12.675128882304268,,0.483387474038248,,0.2740283448414872,
WT3,1,17.742225855555503,,0.478177150833682,,0.2767790360798685,
WT4,1,15.474669770007711,,0.5066334212632284,,0.2750657425501677,
WT5,1,17.315719732498902,,0.5481819833221044,,0.2696622470161979,
WT6,1,15.878968511785658,,0.5024099261959889,,0.2679135250096182,
