subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,tmp_mean,tmp_std,P_mean,P_std
WT1,1,15.91162301022224,,0.4449556486797534,,1.754816474803884,,0.3140691190566674,
WT2,1,16.13057500500779,,0.3652842821686299,,1.8302853553044736,,-0.3967276807900332,
WT3,1,20.50535088954677,,0.418581417086134,,1.933587580405324,,0.4799888542906732,
WT4,1,18.332965180901947,,0.4281873288448279,,1.7061033800984535,,-0.9161929349534256,
WT5,1,18.749892411848418,,0.4590526083147488,,2.0027633099986373,,-0.8086039705899816,
WT6,1,17.965276771360656,,0.4824781155336771,,2.122955697359942,,-0.6006722445082909,
