subject,session_idx,date,stage,model,WBIC,n_trials,p_r,eps
WT5,2,2020-04-02 11:13:52,4.8,ls,196.54242690476536,393,0.298135973404218,0.23043559590328855
WT5,3,2020-04-03 11:00:55,4.8,ls,153.6227831985467,319,0.2695983545452374,0.19471154209826866
WT5,4,2020-04-04 11:00:06,4.8,ls,184.8659476039574,362,0.356601502062321,0.2603444765497375
WT5,5,2020-04-06 11:00:00,4.8,ls,180.0598555691523,354,0.3382929762127677,0.25445704914324635
WT5,6,2020-04-07 10:58:14,4.8,ls,195.0299350887541,382,0.36039884949418044,0.26196201933061436
WT5,7,2020-04-08 11:00:01,4.8,ls,205.5247256176948,403,0.34425197979735545,0.25894505289351
WT5,8,2020-04-09 11:02:54,4.8,ls,180.86102440667756,375,0.22921177522770791,0.2029656423800437
WT5,9,2020-04-10 11:00:11,4.8,ls,196.26107245087462,405,0.2432408867326698,0.2017829228106136
WT5,10,2020-04-11 11:06:05,4.8,ls,189.51305284829726,398,0.2117522885999012,0.19074210312464404
WT5,11,2020-04-13 11:00:00,4.8,ls,182.49603870461175,351,0.4444862812950511,0.2913101681949797
WT5,12,2020-04-14 11:07:08,4.8,ls,187.33583486327262,387,0.21603786894505195,0.21103078317770835
WT5,13,2020-04-15 11:00:01,4.8,ls,208.76643906065866,424,0.2643701506907678,0.21429344453601584
WT5,14,2020-04-16 11:02:50,4.8,ls,213.2692483366375,431,0.26238656031244767,0.22699203576478807
WT5,15,2020-04-17 10:57:03,4.8,ls,111.67599900803118,232,0.2729634294898725,0.21099096037294793
WT6,0,2020-03-31 13:10:13,4.8,ls,190.94866390157927,391,0.24403165368442714,0.20357924555770643
WT6,1,2020-04-01 13:00:46,4.8,ls,191.19524459631685,390,0.2704664835840927,0.20675940090601522
WT6,2,2020-04-02 12:55:01,4.8,ls,195.11615929479385,397,0.25281675464670383,0.21471304230612023
WT6,3,2020-04-03 13:09:48,4.8,ls,196.8552763714908,393,0.3032600511157019,0.22922686912771773
WT6,4,2020-04-04 13:08:37,4.8,ls,217.60992354898175,427,0.3468941480124841,0.2601885602377498
WT6,5,2020-04-06 13:17:03,4.8,ls,190.52525550174747,398,0.22322751635791738,0.19877255233175986
WT6,6,2020-04-07 13:18:33,4.8,ls,208.3469871311628,407,0.34816071066393167,0.26253111512138105
WT6,7,2020-04-08 13:08:31,4.8,ls,213.07555584596275,433,0.24290115798688625,0.220199403998412
WT6,8,2020-04-09 13:05:38,4.8,ls,189.35461595537856,421,0.13554969169496892,0.1653696248534499
WT6,9,2020-04-10 13:03:43,4.8,ls,217.4181911276769,419,0.39387289050795454,0.287787148027616
WT6,10,2020-04-11 13:06:45,4.8,ls,191.5415727641309,403,0.2082078973636863,0.1917560394005213
WT6,11,2020-04-13 13:13:41,4.8,ls,149.3305989993139,315,0.23053014674956612,0.1882390941466036
WT6,12,2020-04-14 13:08:47,4.8,ls,166.06792672490946,413,0.09910864963638084,0.11880107932781081
WT6,13,2020-04-15 13:07:31,4.8,ls,190.19438505637598,391,0.2324543191710347,0.21237640594974191
WT6,14,2020-04-16 13:28:36,4.8,ls,136.34977721343392,286,0.22915972833441578,0.212717522177238
WT6,15,2020-04-17 13:37:22,4.8,ls,202.39560297404464,418,0.21500146123119263,0.2145994568032517
