subject,n_sessions,WBIC_mean,WBIC_std,p_r_mean,p_r_std,eps_mean,eps_std
WT1,5,95.50175179750443,30.70358620366349,0.4976976292372699,0.08881987077843669,0.2794865474570219,0.01757190403628029
WT2,11,99.2869806076284,53.080995556739126,0.5209538792186135,0.053647195652937005,0.28616358873807174,0.009835283295180072
WT3,11,86.89752986724406,43.33017347722415,0.5075446785515926,0.05038240335757347,0.28585306697233076,0.008543378337246525
WT4,6,105.76722827550151,42.46396277182375,0.5457802278489279,0.05162317975910873,0.2851047605888584,0.019523390996439936
WT5,9,87.79223288168171,32.703666740117185,0.562824712023303,0.07883550332214764,0.2714937008896515,0.02783611577203845
WT6,2,137.5962430085498,26.499033544644078,0.4843403393740892,0.0529690879290864,0.29382678459905187,0.008339127810862207
