subject,session_idx,date,stage,model,WBIC,n_trials,alpha,tmp,P
WT1,0,2019-12-19 09:23:45,4.3,rac_p,15.911623010222241,73,0.44495564867975346,1.7548164748038841,0.3140691190566674
WT2,0,2019-12-17 10:07:45,4.3,rac_p,16.13057500500779,74,0.36528428216862996,1.8302853553044736,-0.39672768079003323
WT3,0,2019-12-17 18:00:17,4.3,rac_p,20.505350889546772,100,0.418581417086134,1.9335875804053242,0.47998885429067323
WT4,0,2020-03-13 09:07:24,4.3,rac_p,18.332965180901947,88,0.42818732884482796,1.7061033800984535,-0.9161929349534255
WT5,0,2020-03-13 10:21:19,4.3,rac_p,18.749892411848418,102,0.45905260831474887,2.0027633099986373,-0.8086039705899816
WT6,0,2020-03-17 18:03:02,4.3,rac_p,17.965276771360656,91,0.48247811553367714,2.122955697359942,-0.6006722445082909
