subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,P
WT1,0,2020-01-07 09:13:51,4.8,mf_p,140.0880885559458,308,0.5149611087573926,0.4884601500472356,0.6450488853885469,3.1638999989063583,0.02392680734071151
WT1,1,2020-01-08 09:12:32,4.8,mf_p,155.23403968910543,343,0.374427903284852,0.4978231378361867,0.49832187797126265,3.027507173521081,1.0944090683752066
WT1,2,2020-01-09 09:08:36,4.8,mf_p,168.41366027688127,374,0.3489766501322348,0.4833578732247722,0.4876998781519715,3.428038198980519,0.620306476186005
WT1,3,2020-01-10 09:23:07,4.8,mf_p,147.5182820659442,330,0.4395886134495471,0.577062675938431,0.4511486691669268,3.5509571615022133,0.5276359700772527
WT1,4,2020-01-11 09:11:53,4.8,mf_p,158.48595613270066,337,0.36586030222763766,0.4629848321750935,0.4991656183314723,3.0516118673003496,0.4199524878510899
WT1,5,2020-01-13 09:25:05,4.8,mf_p,137.38593241073997,318,0.4253675177564406,0.44067574705400375,0.5420366599032249,3.416009643773412,0.64183348163009
WT1,6,2020-01-14 09:00:32,4.8,mf_p,143.62481673370442,349,0.5865425183912673,0.512687438970864,0.4068241214615617,3.2040342841811134,0.41763833533713607
WT1,7,2020-01-15 08:54:56,4.8,mf_p,121.11408751600672,318,0.5761613385084259,0.4615287962143154,0.58217614570446,3.4246132194313703,0.9543002974892406
WT1,8,2020-01-16 09:07:00,4.8,mf_p,140.57262975249083,334,0.4599168188458962,0.45502480687971003,0.5109727585539993,3.594934969501596,0.3654306950556344
WT1,9,2020-01-17 09:29:45,4.8,mf_p,157.39875548200186,382,0.5089853133575486,0.4339261769367216,0.5566560411688735,3.053935688709258,0.8027959988146791
WT1,10,2020-01-18 09:17:25,4.8,mf_p,141.37059447584033,327,0.37444426629631045,0.4989429271654871,0.4778112283465076,3.8854197818891825,0.6908895699466039
WT2,0,2019-12-31 11:32:14,4.8,mf_p,173.614903162772,382,0.26140291940538546,0.4320923534568395,0.4872479832759447,4.439698013614391,-0.20668390410924506
WT2,1,2020-01-01 11:00:00,4.8,mf_p,195.95606856184412,399,0.34195866811071685,0.4421510221419651,0.472161125326113,3.190299872507339,-0.002735263786036144
WT2,2,2020-01-02 11:00:01,4.8,mf_p,204.9533649874308,400,0.32687016814385617,0.4585901514044894,0.4042822711550776,2.808157679106693,0.14071598856128956
WT2,3,2020-01-03 11:00:04,4.8,mf_p,210.50257994260107,424,0.2918969336888611,0.4119901460157231,0.45653081342821045,2.953450166154163,0.4770975900330249
WT2,4,2020-01-04 11:00:02,4.8,mf_p,208.54423336114914,444,0.3549912761101674,0.46674216309049277,0.480241345396923,3.254145556060454,0.3539461500633253
WT2,5,2020-01-06 11:00:01,4.8,mf_p,155.24539818326136,370,0.39679023280235737,0.4953440226073265,0.4889419994164881,3.764271705876833,0.8922371798852748
WT2,6,2020-01-07 11:01:05,4.8,mf_p,163.13550815767536,416,0.3338345002904405,0.3735978504153779,0.488508284846889,4.436535611582867,0.769667266890665
WT2,7,2020-01-08 11:00:07,4.8,mf_p,164.4631100530825,404,0.3523839306601054,0.4982462456165432,0.5396361355526004,4.479050870594542,0.31122772777090046
WT2,8,2020-01-09 11:00:01,4.8,mf_p,198.3356099032547,450,0.3757903466210818,0.4543805765790005,0.45681224329706355,3.421002112288397,0.6368246034056615
WT2,9,2020-01-10 11:08:45,4.8,mf_p,175.31989372056432,413,0.4042750884186059,0.4890880902906108,0.5227341417807954,3.6033657306735627,0.6642025066206216
WT2,10,2020-01-11 11:00:07,4.8,mf_p,200.17213420168142,462,0.2856541586931825,0.3795797733129034,0.4069509887808887,4.191515173079245,0.7803771608407084
WT2,11,2020-01-13 11:04:47,4.8,mf_p,193.81486289762267,417,0.4957912237720074,0.4663961087845411,0.49637473814373406,2.6641029866201094,0.39630895139908606
WT2,12,2020-01-14 11:00:03,4.8,mf_p,189.94348812828156,473,0.3203516186577411,0.36583799950723195,0.5068778231456101,4.659832210775411,0.17883161195844344
WT2,13,2020-01-15 10:51:12,4.8,mf_p,207.91402870734,468,0.3045459036053493,0.4134856850918051,0.47714585564098855,4.2085058418335235,0.20593968575623867
WT2,14,2020-01-16 10:48:53,4.8,mf_p,198.8498062557732,459,0.4066826126701568,0.48626556098151036,0.5100325454823127,3.3865059809589115,0.6350588359252484
WT2,15,2020-01-17 11:07:02,4.8,mf_p,191.6301097184596,491,0.37481710855887634,0.47040611375657876,0.511121909023783,4.0218979880343015,0.9248629094291589
WT2,16,2020-01-18 11:00:01,4.8,mf_p,171.56252431702765,406,0.38403257140425723,0.4692177107397011,0.4897863894132056,3.6859216714163656,0.7069451692404332
WT3,0,2020-01-02 13:00:09,4.8,mf_p,165.88035201409585,353,0.3190647841934841,0.4450839478372877,0.4541253640494381,3.6369757036876513,0.4542988535377942
WT3,1,2020-01-03 13:00:02,4.8,mf_p,190.25160391594292,372,0.2674438494241363,0.5184067349477001,0.46450170945860125,3.391860566669867,0.17733519645518753
WT3,2,2020-01-04 13:00:01,4.8,mf_p,160.42176766389093,357,0.32466074069472045,0.46753837776141066,0.4754761880531481,3.665110455797902,0.6608886417211274
WT3,3,2020-01-07 13:00:09,4.8,mf_p,184.43861278499293,390,0.3251439703586714,0.46619843240895725,0.42900538425591456,3.6222222595609357,0.26135600717807156
WT3,4,2020-01-08 14:07:07,4.8,mf_p,187.6987139051335,404,0.31102714668839787,0.47402413746187355,0.5030254583357833,3.9228292360597723,0.4544733473437254
WT3,5,2020-01-09 13:08:29,4.8,mf_p,168.7355562950232,380,0.3295796819447771,0.46931196847254064,0.42290850252801204,3.506071662346822,0.9060462530975204
WT3,6,2020-01-10 13:10:02,4.8,mf_p,162.3715339771892,367,0.31496393336606143,0.4941064155552297,0.46328732914044296,4.223005431723835,0.6503961429662442
WT3,7,2020-01-11 13:00:00,4.8,mf_p,157.1923767448794,368,0.3507173683673787,0.45371860412643855,0.45109896260346055,3.7289847047884157,0.6332232107035576
WT3,8,2020-01-13 13:00:15,4.8,mf_p,163.1526672896803,330,0.41413152722648533,0.520718091305784,0.44302937295595646,2.8338254418902276,-0.06428727809848298
WT3,9,2020-01-14 13:08:00,4.8,mf_p,173.16392825266698,360,0.2811490689847055,0.48748304793668606,0.4149680582851813,3.406449852150229,0.7717971189307844
WT3,10,2020-01-15 12:43:34,4.8,mf_p,166.96757302895696,381,0.3642826736277721,0.5268867603207915,0.42931605825614955,3.474140140227989,0.9629539039379729
WT3,11,2020-01-16 12:45:33,4.8,mf_p,162.96998560056838,412,0.3791324261410714,0.4554932328626291,0.4333975232049855,3.727474217047849,0.8887381373036545
WT3,12,2020-01-17 12:56:59,4.8,mf_p,179.72698343935403,414,0.2737104208219061,0.45231090550942726,0.5048007047740571,4.018759671145609,0.8128807716353187
WT3,13,2020-01-18 12:57:33,4.8,mf_p,173.88594660462547,386,0.4059566955685872,0.4864744632691636,0.3836799288854631,3.490631648322546,0.6450389282751641
WT4,0,2020-03-31 09:17:00,4.8,mf_p,179.6771134303498,370,0.32634668927470456,0.4555447593431701,0.479345390112555,3.0734598966859017,0.36555072410566875
WT4,1,2020-04-01 09:06:23,4.8,mf_p,218.39363487903492,441,0.35864586215545335,0.5789815365920398,0.44477940167508806,2.9616491166818975,0.39429818700404845
WT4,2,2020-04-02 09:36:56,4.8,mf_p,217.96487136855123,468,0.3670743340363447,0.4277816270395066,0.4674292426923418,2.6406874870884267,0.931514392923142
WT4,3,2020-04-03 09:10:40,4.8,mf_p,203.46331995743793,481,0.3746779820832002,0.4031999091145109,0.49788563681797005,4.072048903596345,0.14534376329229404
WT4,4,2020-04-04 09:21:12,4.8,mf_p,201.42989980129755,463,0.3454057404053296,0.46719199350122553,0.5474484479885977,4.116395756302277,0.5013256349814817
WT4,5,2020-04-06 09:20:56,4.8,mf_p,163.2040726603911,426,0.3058898062478826,0.38074191969858207,0.5783805923997669,4.886615466390498,0.30519881696157153
WT4,6,2020-04-07 09:08:29,4.8,mf_p,155.38916807217126,446,0.31697702019707935,0.38062159776039056,0.43854004515347117,5.296095464956436,0.9206528655617585
WT4,7,2020-04-08 09:10:22,4.8,mf_p,181.08039128027337,419,0.29819488021783014,0.3883852068400709,0.5009936963198124,3.9527727748303536,0.8393420856915805
WT4,8,2020-04-10 09:06:58,4.8,mf_p,144.4694254495718,361,0.3423307806099261,0.43627012159226664,0.4724669149584656,4.636056722065526,0.2362602558660669
WT4,9,2020-04-11 09:09:52,4.8,mf_p,194.13951534572627,468,0.3398970078795246,0.43307750850878035,0.45412061534266823,4.520816363474044,0.46961298666372053
WT4,10,2020-04-13 09:07:22,4.8,mf_p,150.6562653502542,346,0.4282292922957706,0.510509633961071,0.4292560352787445,4.0238920144346055,-0.10473270623848192
WT4,11,2020-04-14 09:10:43,4.8,mf_p,167.9644964477399,472,0.40429967955607016,0.3634811877437272,0.47781467306214,4.494559850742495,0.6367414294887802
WT4,12,2020-04-15 08:58:47,4.8,mf_p,182.91947857257992,469,0.37482303300885106,0.4460012428711769,0.478263025989645,4.6839687787071576,0.31635739448863276
WT4,13,2020-04-16 09:00:43,4.8,mf_p,195.68652115976442,482,0.37695239723370716,0.368597640849243,0.46426542931753284,4.00345734869589,0.7833237750801104
WT4,14,2020-04-17 09:20:26,4.8,mf_p,175.06999620209822,437,0.38601454073390057,0.39580941165652395,0.4248651751073369,4.0667811829002645,0.6007803996440103
WT5,0,2020-03-31 10:54:09,4.8,mf_p,153.05346962665985,324,0.3761802012725333,0.5431508607888073,0.5105334351810485,3.3719924385264757,0.3213541803829647
