subject,session_idx,date,stage,model,WBIC,n_trials,p_r,eps
WT1,0,2019-12-20 16:00:06,4.6,ls,48.901573473938235,97,0.6368527955790324,0.24998625978320269
WT1,1,2019-12-21 09:33:10,4.6,ls,81.89507457560563,157,0.5155980956647462,0.2926395522538565
WT1,2,2019-12-23 09:30:55,4.6,ls,112.02064037936923,215,0.4649985150526147,0.29040970869183674
WT1,3,2019-12-24 09:39:26,4.6,ls,107.67801503180816,207,0.47469708578426545,0.28757414260787517
WT1,4,2019-12-25 09:38:22,4.6,ls,127.01345552680085,247,0.39634165410569094,0.2768230739483385
WT2,0,2019-12-18 17:03:09,4.6,ls,50.407613343472946,96,0.5262091422963358,0.2871859560065284
WT2,1,2019-12-19 10:20:58,4.6,ls,33.72774373133303,64,0.5379033156198791,0.2831110403920555
WT2,2,2019-12-19 17:05:45,4.6,ls,60.66530003621859,115,0.5507492708161034,0.2835665564626952
WT2,3,2019-12-20 10:14:50,4.6,ls,54.77508674328694,104,0.48982923510608634,0.2904507188021355
WT2,4,2019-12-20 17:00:08,4.6,ls,53.84123675508606,104,0.5807002052626804,0.27332842265366675
WT2,5,2019-12-21 11:14:23,4.6,ls,96.66249086073508,189,0.6144850005982828,0.2670417071125888
WT2,6,2019-12-23 11:36:56,4.6,ls,140.75979895399246,271,0.44250978043272177,0.2914730937827987
WT2,7,2019-12-24 11:23:40,4.6,ls,155.42620327464724,297,0.5089285443886565,0.297299536680669
WT2,8,2019-12-25 11:35:03,4.6,ls,105.28269030956305,203,0.43774317297795984,0.2811458653219554
WT2,9,2019-12-26 11:23:18,4.6,ls,148.52025436307673,284,0.5438356026798514,0.2948221847341732
WT2,10,2019-12-27 11:07:56,4.6,ls,192.08836831250014,368,0.49759940122619145,0.29837439416952266
WT3,0,2019-12-19 11:09:28,4.6,ls,37.57388100249272,73,0.5990189476276885,0.2682664298126453
WT3,1,2019-12-19 18:00:01,4.6,ls,34.075399015542835,66,0.48053152888138406,0.27739120023027386
WT3,2,2019-12-20 11:16:09,4.6,ls,56.4410966447569,107,0.5567344892295214,0.2804553661133843
WT3,3,2019-12-20 18:00:01,4.6,ls,83.37062794109595,159,0.5301891922209004,0.2959711007627576
WT3,4,2019-12-21 13:01:59,4.6,ls,76.38534095765743,146,0.5083252022310091,0.2926127344226076
WT3,5,2019-12-23 13:21:20,4.6,ls,52.32056667378579,99,0.5249024251117131,0.28161559897953914
WT3,6,2019-12-24 13:07:02,4.6,ls,80.38234744518014,154,0.5166638203420973,0.28983175437824715
WT3,7,2019-12-25 13:14:17,4.6,ls,133.13132295907042,256,0.44101301591082476,0.28871183377580995
WT3,8,2019-12-26 13:18:41,4.6,ls,94.57884344845489,182,0.4240278458716091,0.2831811865669367
WT3,9,2019-12-27 13:18:05,4.6,ls,146.2818955252183,279,0.5279626599747234,0.2903867762013606
WT3,10,2019-12-28 13:12:36,4.6,ls,161.33150692642923,309,0.47362233666604747,0.29595975545207653
WT4,0,2020-03-14 16:00:01,4.6,ls,64.24004730237272,123,0.5354741239094979,0.2858937159108126
WT4,1,2020-03-16 09:31:49,4.6,ls,68.7752583496152,131,0.5274353040286233,0.2936191114689162
WT4,2,2020-03-17 09:32:52,4.6,ls,95.90350588974269,184,0.5618031911759714,0.2818863758483809
WT4,3,2020-03-18 09:06:51,4.6,ls,90.48372593227529,179,0.6415250745230078,0.24837308029157248
WT4,4,2020-03-19 09:01:39,4.6,ls,147.14118830347553,281,0.5056361687824303,0.2991031669461673
WT4,5,2020-03-20 09:29:03,4.6,ls,168.05964387552768,321,0.5028075046740365,0.301753113067301
WT5,0,2020-03-14 17:00:26,4.6,ls,63.67275848524587,121,0.5104976936814215,0.2878251920587803
WT5,1,2020-03-16 11:08:06,4.6,ls,73.01043844813972,146,0.6520145313468454,0.23644317270270926
WT5,2,2020-03-17 11:10:20,4.6,ls,93.587040246675,179,0.5155131227656186,0.2943748992660251
WT5,3,2020-03-18 11:05:06,4.6,ls,35.34340687277445,70,0.6083316458269086,0.2641968479870009
WT5,4,2020-03-19 11:05:09,4.6,ls,86.62399567258144,178,0.6904472777875051,0.21583213590043995
WT5,5,2020-03-20 11:21:48,4.6,ls,117.02739510664952,224,0.548434235147045,0.29115693175485136
WT5,6,2020-03-21 11:17:38,4.6,ls,95.06932857995827,182,0.5245553287579776,0.2902085697601053
WT5,7,2020-03-23 10:56:03,4.6,ls,75.46841497693674,146,0.5809806714698071,0.27525316870602906
WT5,8,2020-03-24 11:17:48,4.6,ls,150.3273175461743,289,0.4346479014265971,0.2881523898709229
WT6,0,2020-03-20 13:00:34,4.6,ls,118.85859669424221,227,0.5217951406420127,0.29972343842329396
WT6,1,2020-03-21 12:53:00,4.6,ls,156.33388932285743,301,0.44688553810616577,0.28793013077480994
