subject,session_idx,date,stage,model,WBIC,n_trials,alpha,tmp,P
WT1,0,2020-01-07 09:13:51,4.8,rac_p,143.679059818101,308,0.45838033135152817,1.9908171225460833,0.7636716905240952
WT1,1,2020-01-08 09:12:32,4.8,rac_p,157.222258441038,343,0.297627518528849,1.774998726344839,1.5294786031827816
WT1,2,2020-01-09 09:08:36,4.8,rac_p,175.9069875368689,374,0.36288012850331086,1.325214146613866,1.4680057636002328
WT1,3,2020-01-10 09:23:07,4.8,rac_p,152.29082691176725,330,0.35474822198097916,1.5896981834531938,1.2881251730013459
WT1,4,2020-01-11 09:11:53,4.8,rac_p,155.09437472959797,337,0.22957127456558576,2.47736795009448,0.6622631577071232
WT1,5,2020-01-13 09:25:05,4.8,rac_p,142.02135928547116,318,0.4819937914983485,1.6263770431671498,1.3340697249605495
WT1,6,2020-01-14 09:00:32,4.8,rac_p,143.95229485375893,349,0.28770293244857975,2.867341935411307,0.7069597825988946
WT1,7,2020-01-15 08:54:56,4.8,rac_p,130.89564607699802,318,0.3408722271763882,2.1368441152456157,1.4671350330779864
WT1,8,2020-01-16 09:07:00,4.8,rac_p,155.10661417237216,334,0.27066696164007215,2.099309332294496,1.3350618288484586
WT1,9,2020-01-17 09:29:45,4.8,rac_p,165.93336255594204,382,0.35291680365949324,2.126479386215269,1.4794183647671004
WT1,10,2020-01-18 09:17:25,4.8,rac_p,154.58183778725473,327,0.3282126209885042,1.2226726214173231,1.7384024932269027
WT2,0,2019-12-31 11:32:14,4.8,rac_p,191.07878069872686,382,0.31134095752080165,1.511357270734605,0.8485054002181025
WT2,1,2020-01-01 11:00:00,4.8,rac_p,198.84705835245404,399,0.5246446805324076,1.0435665885309116,0.7856220945766662
WT2,2,2020-01-02 11:00:01,4.8,rac_p,208.54135939464012,400,0.3891533194945676,0.8439865857183153,0.7977896586870447
WT2,3,2020-01-03 11:00:04,4.8,rac_p,215.355822816889,424,0.3367628274491524,1.1101730623060126,1.1956448405352438
WT2,4,2020-01-04 11:00:02,4.8,rac_p,209.21725497002296,444,0.29681140262956446,2.2354796160842447,0.8271877069183081
WT2,5,2020-01-06 11:00:01,4.8,rac_p,164.17298355827552,370,0.37280975941284694,1.5264837095561943,1.462769649339525
WT2,6,2020-01-07 11:01:05,4.8,rac_p,177.92262848203617,416,0.29330826205469257,2.0897736646274305,1.2739818185872196
WT2,7,2020-01-08 11:00:07,4.8,rac_p,181.8727483803195,404,0.2819342297108376,1.9361749104775654,1.3335938970147965
WT2,8,2020-01-09 11:00:01,4.8,rac_p,192.88381191247566,450,0.3013606273570703,2.5722837297047185,0.676632906582754
WT2,9,2020-01-10 11:08:45,4.8,rac_p,184.77623656299775,413,0.2331738680920861,2.241035458987686,1.0955585054294983
WT2,10,2020-01-11 11:00:07,4.8,rac_p,210.59719615457982,462,0.2765061872906365,1.827473335177127,1.3598844283921177
WT2,11,2020-01-13 11:04:47,4.8,rac_p,200.83503842023802,417,0.34923492145578056,1.3957289787572729,1.2288951953449792
WT2,12,2020-01-14 11:00:03,4.8,rac_p,211.32935635543848,473,0.3974897402956862,1.970809427513004,1.030393270185144
WT2,13,2020-01-15 10:51:12,4.8,rac_p,222.19415182921267,468,0.2139609221318468,2.3858987833269243,0.8444819617697268
WT2,14,2020-01-16 10:48:53,4.8,rac_p,208.28601173499322,459,0.1707941270464891,2.5401124009799223,1.1691497588386708
WT2,15,2020-01-17 11:07:02,4.8,rac_p,205.9745915270901,491,0.43706217978547335,1.6292642557261807,1.6876443290498253
WT2,16,2020-01-18 11:00:01,4.8,rac_p,181.0603431674358,406,0.3849004239389025,1.7387566572394748,1.3780993426357242
WT3,0,2020-01-02 13:00:09,4.8,rac_p,174.0015988086777,353,0.35418384934849534,1.365379386634652,1.1946101655598202
WT3,1,2020-01-03 13:00:02,4.8,rac_p,192.62989732852392,372,0.34008521822464516,1.0431071861684513,0.8124899837328086
WT3,2,2020-01-04 13:00:01,4.8,rac_p,162.86739508123557,357,0.2927932795387058,2.2607605267752153,1.0660226857946202
WT3,3,2020-01-07 13:00:09,4.8,rac_p,191.37201593190042,390,0.316323583742779,1.5899030856081877,0.9409166729916301
WT3,4,2020-01-08 14:07:07,4.8,rac_p,195.73673162468495,404,0.3299238219147383,1.4302117759877213,1.0339164334926898
WT3,5,2020-01-09 13:08:29,4.8,rac_p,172.12789208841338,380,0.25810544422382,1.9515283111770618,1.1310521106049978
WT3,6,2020-01-10 13:10:02,4.8,rac_p,167.68417444648938,367,0.446515255961037,1.573006997555772,1.2253602932403211
WT3,7,2020-01-11 13:00:00,4.8,rac_p,165.34453543119972,368,0.36983851337270346,1.7844588644479182,1.3825812389505936
WT3,8,2020-01-13 13:00:15,4.8,rac_p,166.46393201346888,330,0.32543492921457823,1.605522593954417,0.5811389512106069
WT3,9,2020-01-14 13:08:00,4.8,rac_p,176.24306736982842,360,0.3118365565752244,1.5265726169695852,1.3305270751134695
WT3,10,2020-01-15 12:43:34,4.8,rac_p,170.65062912692443,381,0.24340775577359017,1.8949711331943273,1.4025134652219458
WT3,11,2020-01-16 12:45:33,4.8,rac_p,172.35054504397286,412,0.2371468185187605,2.308898182931227,1.331889318091469
WT3,12,2020-01-17 12:56:59,4.8,rac_p,190.98114172538402,414,0.3346730185939327,1.5216733076422129,1.6166096792743512
WT3,13,2020-01-18 12:57:33,4.8,rac_p,187.17036914655466,386,0.333779777072449,1.104786067225905,1.7420269229458305
WT4,0,2020-03-31 09:17:00,4.8,rac_p,176.68836892701358,370,0.3029549720331496,1.8034914018722108,0.7817413438941685
WT4,1,2020-04-01 09:06:23,4.8,rac_p,223.8235677910348,441,0.2740255523709638,1.238117880779426,1.197198754913331
WT4,2,2020-04-02 09:36:56,4.8,rac_p,211.0941444742077,468,0.23701724845305752,2.2582841306218873,0.9418461466179533
WT4,3,2020-04-03 09:10:40,4.8,rac_p,227.5471032505172,481,0.3145451624229122,1.9563939258913734,1.1086435166391941
WT4,4,2020-04-04 09:21:12,4.8,rac_p,213.56333488098028,463,0.39784023095011173,1.611001276424393,1.115682938892085
WT4,5,2020-04-06 09:20:56,4.8,rac_p,189.8376884872639,426,0.23112242104900904,2.240435480875381,1.1444767690313884
WT4,6,2020-04-07 09:08:29,4.8,rac_p,185.31538431609175,446,0.2874096163996796,1.782809982733713,1.776433415684736
WT4,7,2020-04-08 09:10:22,4.8,rac_p,189.30455183714326,419,0.31147342934135713,1.8631104707456825,1.2026349054657424
WT4,8,2020-04-10 09:06:58,4.8,rac_p,152.59356929085197,361,0.20753772673483248,3.701793781343829,0.510534358211124
WT4,9,2020-04-11 09:09:52,4.8,rac_p,203.7113954064547,468,0.23456464224496332,3.1019850684739354,0.763047889881786
WT4,10,2020-04-13 09:07:22,4.8,rac_p,170.6936909713402,346,0.3335967452225099,1.3052739385949224,1.344292172050177
WT4,11,2020-04-14 09:10:43,4.8,rac_p,191.10096414362744,472,0.2545791006267307,2.7043867597565314,1.0645806450002542
WT4,12,2020-04-15 08:58:47,4.8,rac_p,206.2416036197506,469,0.3182369155481176,1.8590140294065356,1.3590328122918156
WT4,13,2020-04-16 09:00:43,4.8,rac_p,217.16340601927212,482,0.37964628203393813,1.603290436471143,1.618571806919776
WT4,14,2020-04-17 09:20:26,4.8,rac_p,194.35016753091028,437,0.28951588556085267,1.8245398098193975,1.4973777815841847
WT5,0,2020-03-31 10:54:09,4.8,rac_p,159.5346266485451,324,0.3220734778887479,1.328350229307969,1.221971519467426
WT5,1,2020-04-01 10:50:07,4.8,rac_p,140.48805647745408,294,0.3494456055592659,1.4534848332923829,1.502391128670897
WT5,2,2020-04-02 11:13:52,4.8,rac_p,188.99018971061642,393,0.35179889507664663,1.7519787813606205,0.7295416922905221
WT5,3,2020-04-03 11:00:55,4.8,rac_p,147.90886849666705,319,0.357067233898137,1.7260591435927088,1.2664220480047523
WT5,4,2020-04-04 11:00:06,4.8,rac_p,172.48704340099945,362,0.3043725209867831,1.519077800170962,1.4675387642990374
WT5,5,2020-04-06 11:00:00,4.8,rac_p,162.48743985870655,354,0.2704604590958158,2.2581137397262623,1.1315592275447313
WT5,6,2020-04-07 10:58:14,4.8,rac_p,175.38901790823533,382,0.41656893929102307,1.504684419952359,1.3220236708816702
WT5,7,2020-04-08 11:00:01,4.8,rac_p,175.43137470783105,403,0.3250006875964298,1.755682080484863,1.4895306973570912
WT5,8,2020-04-09 11:02:54,4.8,rac_p,173.1580634642717,375,0.3200448354139302,1.5553448032597397,1.5064754313304116
WT5,9,2020-04-10 11:00:11,4.8,rac_p,176.74702380041404,405,0.38610098115186625,1.9632562190749578,1.2439788679364296
WT5,10,2020-04-11 11:06:05,4.8,rac_p,185.17261789271683,398,0.3587434495371129,1.5253348731031615,1.4354315341945771
WT5,11,2020-04-13 11:00:00,4.8,rac_p,178.69543472659905,351,0.3781638079412807,0.9167006504325101,1.3722047409927658
WT5,12,2020-04-14 11:07:08,4.8,rac_p,187.27961668937576,387,0.31069299510806153,1.5842131398766173,1.0026985909272028
WT5,13,2020-04-15 11:00:01,4.8,rac_p,196.2130322129088,424,0.3411432414709457,1.7760800452652925,1.3265391437735976
WT5,14,2020-04-16 11:02:50,4.8,rac_p,198.80793425130864,431,0.28390839990113664,1.9015195024931717,1.2511612213913632
WT5,15,2020-04-17 10:57:03,4.8,rac_p,105.0667097506835,232,0.4658523415866446,1.539631520656382,1.5086880444094712
WT6,0,2020-03-31 13:10:13,4.8,rac_p,149.24352770587646,391,0.24145274122750085,2.8236314335623076,1.1555050885031615
WT6,1,2020-04-01 13:00:46,4.8,rac_p,146.3377281257857,390,0.291519152269589,2.2634229609195375,1.4339661114671494
WT6,2,2020-04-02 12:55:01,4.8,rac_p,134.09654474702288,397,0.44779040432184963,2.430343696562282,1.5350889568862436
WT6,3,2020-04-03 13:09:48,4.8,rac_p,144.6638149484249,393,0.5248197494135869,1.4444261219919938,2.5840410833227394
WT6,4,2020-04-04 13:08:37,4.8,rac_p,164.8705702993777,427,0.29552006706802797,1.698394131329784,2.29034261207086
WT6,5,2020-04-06 13:17:03,4.8,rac_p,173.4807482671099,398,0.3727519463511255,1.9750128090582528,1.0940038339203193
WT6,6,2020-04-07 13:18:33,4.8,rac_p,160.05763949908254,407,0.40716397945627664,1.9743126901777865,1.627474482768959
WT6,7,2020-04-08 13:08:31,4.8,rac_p,147.98871524317485,433,0.34216454796611767,2.6475232524309056,1.5673867254070493
WT6,8,2020-04-09 13:05:38,4.8,rac_p,157.17523405777132,421,0.4745681445080374,1.8512929627222219,1.7215321776204566
WT6,9,2020-04-10 13:03:43,4.8,rac_p,163.6863784268146,419,0.529403744729314,1.842877754769362,1.5943842100551457
WT6,10,2020-04-11 13:06:45,4.8,rac_p,181.06581127976577,403,0.4218699558104957,1.7119014984767906,1.3872922385158395
WT6,11,2020-04-13 13:13:41,4.8,rac_p,126.60342048797263,315,0.4620725914796857,2.0074335342248992,1.5590026048784769
WT6,12,2020-04-14 13:08:47,4.8,rac_p,151.02789537874858,413,0.36426782570638533,2.405563318301728,1.5997517692896677
WT6,13,2020-04-15 13:07:31,4.8,rac_p,163.89662188291956,391,0.34099243651000943,1.8409273304998532,1.5157704082962216
