subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,beta_mean,beta_std
WT1,1,103,0.14941587137860424,,15.389834751996236,,0.5266057069230752,,0.3381393426502184,
WT2,1,60,0.16914257767314408,,10.148554660388646,,0.4806676912307204,,0.3287391247079479,
WT3,1,112,0.146049249957699,,16.357515995262286,,0.583326990619311,,0.3305993873503226,
WT4,1,89,0.15381686493882402,,13.689700979555338,,0.5099279457280205,,0.3359290229707275,
WT5,1,108,0.14867384086771895,,16.05677481371365,,0.5197314011759935,,0.3342949511209141,
WT6,2,189,0.1580503408951324,0.023781016991980427,14.069747718095105,9.263816079284593,0.56810024380449,0.020620837155421515,0.3291877897321218,0.007525778826106379
