model,stage,n_sessions,n_mice,n_trials_total,WBIC_mean,WBIC_std,wbic_per_trial_mean,wbic_per_trial_std,wbic_per_trial_mice_mean,wbic_per_trial_mice_std,wbic_per_trial_mice_sem,wbic_per_trial_mean_pm_std,wbic_per_trial_mice_mean_pm_std
ls_asym_p,4.7,35,6,10602,145.31364496009118,32.287108552961605,0.479712765259806,0.04145582242705254,0.48488645004762737,0.02775155982578204,0.011329526856581134,0.4797 ± 0.0415,0.4849 ± 0.0278
ls_asym_p,4.8,89,6,34957,163.22975932788086,23.260541398834796,0.41722635187603296,0.045391579997814506,0.4175485499604246,0.030595292294404906,0.012490475775432998,0.4172 ± 0.0454,0.4175 ± 0.0306
mb_p,4.2,6,6,549,18.925640346622117,6.8028541568263785,0.20890848465504688,0.01026475832485073,0.20890848465504688,0.01026475832485073,0.004190570038145016,0.2089 ± 0.0103,0.2089 ± 0.0103
mb_p,4.3,6,6,528,17.083443246572983,2.3393093671156535,0.19479824352993105,0.01574452170524613,0.19479824352993105,0.01574452170524613,0.0064276740703379225,0.1948 ± 0.0157,0.1948 ± 0.0157
mb_p,4.4,6,6,547,18.78599427953372,5.950355863939766,0.20628597148859906,0.007912500339656304,0.20628597148859906,0.007912500339656304,0.003230264736959421,0.2063 ± 0.0079,0.2063 ± 0.0079
mb_p,4.5,7,6,661,36.067395581840906,12.916120991902567,0.3846573193185336,0.016525595292208546,0.3817655292285455,0.014744846264743079,0.006019558280733842,0.3847 ± 0.0165,0.3818 ± 0.0147
mb_p,4.6,44,6,8130,98.01091040982223,40.330136077948815,0.53606778814232,0.02549384624989399,0.528888869577615,0.022434947733390616,0.00915902905880283,0.5361 ± 0.0255,0.5289 ± 0.0224
mb_p,4.7,35,6,10602,144.02800187319204,32.12491788754579,0.4754846561818426,0.042214605843821786,0.48029174082643705,0.028334634528773103,0.011567566107289963,0.4755 ± 0.0422,0.4803 ± 0.0283
mb_p,4.8,89,6,34957,160.85901041542704,23.249378621624,0.4110685766381398,0.04496227682390156,0.4112652339160687,0.030190494317124204,0.01232521769322493,0.4111 ± 0.045,0.4113 ± 0.0302
mf_p,4.2,6,6,549,18.851096827212697,6.587913899422258,0.20810600521535516,0.00777064523977074,0.20810600521535516,0.00777064523977074,0.0031723526349375615,0.2081 ± 0.0078,0.2081 ± 0.0078
mf_p,4.3,6,6,528,16.783887787293434,2.164209138845561,0.19158015704466216,0.014775538778003465,0.19158015704466216,0.014775538778003465,0.006032088446802429,0.1916 ± 0.0148,0.1916 ± 0.0148
mf_p,4.4,6,6,547,17.902968215885505,5.424440439889322,0.19714538922376698,0.008062496781318413,0.19714538922376698,0.008062496781318413,0.00329150052784364,0.1971 ± 0.0081,0.1971 ± 0.0081
mf_p,4.5,7,6,661,35.62193970719294,12.670111247820603,0.3799071498394118,0.017178704439688715,0.37799301889748343,0.017609027707889427,0.007188855458476655,0.3799 ± 0.0172,0.378 ± 0.0176
mf_p,4.6,44,6,8130,96.44146598614863,40.52890798447365,0.5258518374234132,0.027466319294671068,0.5192685440209859,0.022580734642151094,0.00921854631507632,0.5259 ± 0.0275,0.5193 ± 0.0226
mf_p,4.7,35,6,10602,144.75752737032875,33.15181057412406,0.47696063699070074,0.041601166999313474,0.4819930882382128,0.028155917330774126,0.011494605116730396,0.477 ± 0.0416,0.482 ± 0.0282
mf_p,4.8,89,6,34957,166.5419445479698,25.029351193209834,0.42520177678744214,0.045467088180697744,0.42600570065022086,0.034893873863582225,0.014245364352469116,0.4252 ± 0.0455,0.426 ± 0.0349
rac_p,4.2,6,6,549,18.655390476476125,6.805437684206923,0.20574248485845567,0.016933297038461786,0.20574248485845567,0.016933297038461786,0.00691298956786882,0.2057 ± 0.0169,0.2057 ± 0.0169
rac_p,4.3,6,6,528,17.932613878147972,1.7193031233744762,0.20509565649543773,0.013066138543333302,0.20509565649543773,0.013066138543333302,0.005334228723279809,0.2051 ± 0.0131,0.2051 ± 0.0131
rac_p,4.4,6,6,547,18.393391822897865,4.569518590471174,0.205505691443749,0.01743004568535727,0.205505691443749,0.01743004568535727,0.00711578635375414,0.2055 ± 0.0174,0.2055 ± 0.0174
rac_p,4.5,7,6,661,36.410847301477055,12.988747599220167,0.38833183131312154,0.018205924082428673,0.38495368303228567,0.012408213839750321,0.0050656320877881114,0.3883 ± 0.0182,0.385 ± 0.0124
rac_p,4.6,44,6,8130,98.02845516709675,40.48651991632144,0.5354570464902408,0.021060316085374977,0.5301750224471491,0.01729677282363721,0.007061377935791697,0.5355 ± 0.0211,0.5302 ± 0.0173
rac_p,4.7,35,6,10602,148.1810413971189,33.09596958771921,0.48846153959355965,0.036425535339826884,0.4931108840694161,0.024748082171793265,0.010103362238893816,0.4885 ± 0.0364,0.4931 ± 0.0247
rac_p,4.8,89,6,34957,176.0164664652109,24.868164443043852,0.4490844839699887,0.03853500057116625,0.44953162870785873,0.029366458363274478,0.011988806423785019,0.4491 ± 0.0385,0.4495 ± 0.0294
