subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,beta_mean,beta_std
WT1,1,73,0.08131242095024971,,5.935806729368228,,0.5237378009796545,,0.3363782835811056,
WT2,1,74,0.07921216833026119,,5.861700456439328,,0.4866605950305533,,0.3315404175673755,
WT3,1,100,0.07654904715357456,,7.654904715357456,,0.4811586037881604,,0.3361087410838966,
WT4,1,88,0.07809291822373225,,6.872176803688438,,0.5069466300105164,,0.3320799351568469,
WT5,1,102,0.07347878601434046,,7.494836173462727,,0.5389906156302795,,0.3306130162847127,
WT6,1,91,0.07727259039160556,,7.031805725636106,,0.5041456664245823,,0.3288050922003511,
