subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT1,0,2019-12-20 16:00:06,4.6,hyb_inf,24.058783649563985,97,0.29563463885115854,0.47386950194978367,0.40650928888491117,2.6640806379464177,5.08439815415946,0.6205493505196799,0.6608668524042534
WT1,1,2019-12-21 09:33:10,4.6,hyb_inf,33.468855843617504,157,0.29376820595069364,0.4347598181263425,0.442577670091708,2.7654573219151866,4.094075752070979,0.5815967499399297,0.5314215273034443
WT1,2,2019-12-23 09:30:55,4.6,hyb_inf,44.077918768688974,215,0.3307794889368732,0.43997484599796005,0.4536597321459061,2.2285860466531506,4.145920892391221,0.4339992436920522,0.59373964375117
WT1,3,2019-12-24 09:39:26,4.6,hyb_inf,40.53235009655568,207,0.30639489341901505,0.4281441272233699,0.44497008705385527,2.6547752773079725,4.009880197479911,0.5938256479298004,0.5471351982826762
WT1,4,2019-12-25 09:38:22,4.6,hyb_inf,45.71461672537129,247,0.32700120898697266,0.3631163129401428,0.47445349178207813,2.6806016800676016,3.9392550565092903,0.5605647240176956,0.5044183517765579
WT2,0,2019-12-18 17:03:09,4.6,hyb_inf,24.468237490011106,96,0.32286477465868935,0.40394779284001986,0.4444352173070673,2.4727570284466345,4.640401011760831,0.5622174976001086,0.623977179872415
WT2,1,2019-12-19 10:20:58,4.6,hyb_inf,18.429434324287854,64,0.3536694202647127,0.45254541372253676,0.4413878278970138,2.649571042854844,4.277943055449699,0.7055722022096017,0.5768035277606108
WT2,2,2019-12-19 17:05:45,4.6,hyb_inf,27.130326186447206,115,0.30217416454721496,0.4331752559202825,0.4216884852806232,2.7094503823831277,4.810934753521279,0.6003698259743444,0.6497101326822967
WT2,3,2019-12-20 10:14:50,4.6,hyb_inf,25.10651050236121,104,0.34725130019855527,0.43739186951156184,0.47574200500907426,2.6812805034276073,4.350173730800316,0.6537649433946828,0.579834159849118
WT2,4,2019-12-20 17:00:08,4.6,hyb_inf,23.455702698410793,104,0.29681116586163786,0.4478001351836251,0.41647468451190306,3.075626903350971,4.364651580658435,0.9225733516205942,0.5963266568370517
WT2,5,2019-12-21 11:14:23,4.6,hyb_inf,38.25733913797481,189,0.3258318306528648,0.4812072185412234,0.4477417029871054,2.332872032905467,5.2589557015667685,0.5600974296996655,0.6668162061429821
WT2,6,2019-12-23 11:36:56,4.6,hyb_inf,52.80051172758659,271,0.28484316044016234,0.37918960190477813,0.47319536351585434,2.2310642109074554,4.065530549807687,0.33257378510184366,0.5784667584811752
WT2,7,2019-12-24 11:23:40,4.6,hyb_inf,55.857112642688975,297,0.2867125682699344,0.46079441663466514,0.44750337142953944,2.376757885284775,4.063456169618483,0.4598968596071247,0.6263988108491613
WT2,8,2019-12-25 11:35:03,4.6,hyb_inf,40.037742233700484,203,0.3404525785560087,0.46006420710546986,0.4436821538976259,2.396018519982368,4.089494262230802,0.7211929349985118,0.5530967861983862
WT2,9,2019-12-26 11:23:18,4.6,hyb_inf,53.98016368561735,284,0.3052873003611211,0.43917328870395744,0.42555472430218094,2.1696089763167765,4.881570978118892,0.3924886805096142,0.6830117178217242
WT2,10,2019-12-27 11:07:56,4.6,hyb_inf,66.45220282674009,368,0.3221162176132042,0.4106646169703275,0.44323200457580025,2.0906419307583626,3.739883248892344,0.39236068955384423,0.5005194117670753
WT3,0,2019-12-19 11:09:28,4.6,hyb_inf,17.35911036669511,73,0.33220443656993126,0.4736748491148317,0.40407936643626413,3.357796769939563,5.21524048759421,0.9922161944029221,0.6719876340654203
WT3,1,2019-12-19 18:00:01,4.6,hyb_inf,18.26472756010291,66,0.3679271905406171,0.40675114442104954,0.48675356110975937,2.7473321592886624,4.67659342923214,0.6380574991961036,0.5884786219914354
WT3,2,2019-12-20 11:16:09,4.6,hyb_inf,25.39072527658089,107,0.3017032587015956,0.4170456884230742,0.4107193540617002,2.9004585864639973,4.642681959976749,0.6690235339064904,0.6336839555878909
WT3,3,2019-12-20 18:00:01,4.6,hyb_inf,31.95003881697903,159,0.28055683747367266,0.43014134521836345,0.4164661959039981,3.3095219996560052,4.4488317824770665,0.7734148963680307,0.6154403932990645
WT3,4,2019-12-21 13:01:59,4.6,hyb_inf,30.78388097139404,146,0.3020039231261986,0.43558722574982467,0.44471703635856985,3.152130088105517,4.339357755531911,0.6789259758593478,0.5924327263186392
WT3,5,2019-12-23 13:21:20,4.6,hyb_inf,23.05990450094353,99,0.40472087643953264,0.4394907060408592,0.4742435133000289,2.4791410273717456,4.550484265936884,0.93153825525651,0.5967719074728803
WT3,6,2019-12-24 13:07:02,4.6,hyb_inf,33.52184085485725,154,0.32040689081489543,0.46467577524941717,0.44357062555056276,2.4455946643577504,4.291055397044982,0.6549835859658804,0.5809211189554822
WT3,7,2019-12-25 13:14:17,4.6,hyb_inf,50.66426381490793,256,0.307695992815461,0.4029894423398302,0.4708620419045281,2.0999264763566425,3.9730399270553565,0.3878273309878868,0.524931146986971
