subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,Winf_mean,Winf_std,P_mean,P_std,p_r_mean,p_r_std
WT1,1,102,0.23793416379865878,,24.269284707463196,,0.3627716692135298,,0.4654399989350594,,0.4481169699209879,,2.7601538308147604,,4.664530896607007,,0.7828251592588255,,0.6048383268733484,
WT2,1,58,0.23551714647521288,,13.659994495562348,,0.4589439340510619,,0.3960538790228479,,0.5148411066383856,,3.813930878089331,,4.642211483019699,,0.9851033179355718,,0.5046495662022475,
WT3,1,82,0.22072308112822547,,18.09929265251449,,0.4010129983893332,,0.4489227096409429,,0.4695171654818841,,3.149140370097215,,4.767272065589971,,1.103332972064286,,0.522118026280697,
WT4,1,97,0.2111634098249788,,20.482850753022944,,0.3961612859107367,,0.4581470970648273,,0.4707388034691256,,3.383950317752176,,4.58370734405598,,1.10171352222489,,0.5238797944332131,
WT5,1,67,0.24357258018217137,,16.31936287220548,,0.3898146239348636,,0.458494012218025,,0.4728224080232009,,2.8929331761229387,,5.182450755987198,,0.8902473416835408,,0.6314551179009376,
WT6,1,141,0.18494059182672787,,26.07662344756863,,0.3817776523659315,,0.4287989872475333,,0.4876971020094405,,3.5058459540463405,,4.926619576444683,,1.0427673542601144,,0.6171682535978829,
