subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,tmp_mean,tmp_std,P_mean,P_std
WT1,11,152.4258747426518,12.230727157661688,0.3423248011219671,0.07529689852500814,1.9306473238912387,0.48888296626301336,1.252053783226861,0.36830762532031475
WT2,17,197.93796319516622,15.77444547975058,0.32772049624699073,0.08644068842030847,1.79990343737927,0.5196477289555176,1.1174020449473734,0.2860586380777565
WT3,14,177.5445660833756,11.520139857678716,0.3210034158625327,0.054039419123037814,1.6400557168766183,0.3734365248868511,1.1994039283017968,0.30726691185799504
WT4,15,196.86859606309733,20.749796433368715,0.291604395399479,0.05426152168273389,2.056928558254024,0.6660887280408697,1.161739683805181,0.33432559004408513
WT5,16,170.24106562483334,23.583344146512484,0.3463398669689892,0.04937436413657921,1.6287194863781225,0.29735160945493183,1.2986347702169967,0.21146685882272737
WT6,16,153.8328501753577,15.481515181614505,0.3955728606651798,0.08574657802363356,2.0271032450713253,0.4062955407226832,1.6114585825463066,0.36536144270573134
