subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT1,0,2019-12-19 09:23:45,4.3,ls_asym_p,13.682773001161753,73,0.5593390721056589,4.592400072969398,0.7457997211740144
WT2,0,2019-12-17 10:07:45,4.3,ls_asym_p,14.024624580869208,74,0.46282028090794125,4.591585206334272,-0.5220065634370878
WT3,0,2019-12-17 18:00:17,4.3,ls_asym_p,19.212826848539496,100,0.49694689877795645,4.391039205529707,0.608742447016515
WT4,0,2020-03-13 09:07:24,4.3,ls_asym_p,15.744467035639918,88,0.5088090160796819,4.601110999597639,-1.066080458622342
WT5,0,2020-03-13 10:21:19,4.3,ls_asym_p,16.7932995222719,102,0.5485752127645618,4.693854011552336,-1.3428629682373057
WT6,0,2020-03-17 18:03:02,4.3,ls_asym_p,16.469791050621716,91,0.5089493677156173,4.7390292531793206,-0.8569957600650878
