subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT1,0,2019-12-20 16:00:06,4.6,mb_p,56.50397366885889,97,0.2703353703377248,0.5865114170583475,2.3439994068780488,-0.29664870308761826
WT1,1,2019-12-21 09:33:10,4.6,mb_p,84.09089035224025,157,0.3244079094396473,0.5666930534893225,3.0512984534780414,-0.02749528667961641
WT1,2,2019-12-23 09:30:55,4.6,mb_p,116.06353033688502,215,0.341798598868789,0.5348221697648707,2.2768794688790344,-0.41653615795713705
WT1,3,2019-12-24 09:39:26,4.6,mb_p,106.42789422864982,207,0.3459301825533101,0.5676362085194453,3.0026284658162963,0.053688503947683076
WT1,4,2019-12-25 09:38:22,4.6,mb_p,126.98260354649142,247,0.3788349242002416,0.4594655614823257,2.6311499095443467,0.16764006739644224
WT2,0,2019-12-18 17:03:09,4.6,mb_p,53.37700998834153,96,0.34913684696944886,0.5184295466014072,2.5332157082848603,-0.9049952361004269
WT2,1,2019-12-19 10:20:58,4.6,mb_p,38.02029081352471,64,0.34266180061158635,0.5715303915648857,2.443597127339999,-0.4098728089307216
WT2,2,2019-12-19 17:05:45,4.6,mb_p,64.24363561632336,115,0.30363069480543176,0.5253346741755472,2.7755606219157074,-0.45742859180097195
WT2,3,2019-12-20 10:14:50,4.6,mb_p,58.615188463581426,104,0.3479881736259253,0.5218629950933894,2.683541352758538,-0.14870039488731282
WT2,4,2019-12-20 17:00:08,4.6,mb_p,57.29016323930948,104,0.30121359358955496,0.5463351395580559,2.459663935221841,0.6109887942592028
WT2,5,2019-12-21 11:14:23,4.6,mb_p,104.959435891171,189,0.26232971394189697,0.5847342551260973,2.2161528913282385,0.016786762968211143
WT2,6,2019-12-23 11:36:56,4.6,mb_p,140.77186614994704,271,0.3626156687042697,0.4879338539603805,2.5782745703616077,-0.8768528217981035
WT2,7,2019-12-24 11:23:40,4.6,mb_p,159.23591421199288,297,0.31154994220221954,0.5615223461518583,2.42420951374526,-0.1349043003469401
WT2,8,2019-12-25 11:35:03,4.6,mb_p,106.41189231402011,203,0.38438465977085967,0.5076941112290771,2.521066589563354,0.3710485767989649
WT2,9,2019-12-26 11:23:18,4.6,mb_p,154.13616207548202,284,0.2849963492099423,0.5741341033542418,2.0409172041761483,-0.44735261805141574
WT2,10,2019-12-27 11:07:56,4.6,mb_p,193.3076220651303,368,0.34098894596322055,0.5321249742997106,2.380974399237527,-0.19697487316357154
WT3,0,2019-12-19 11:09:28,4.6,mb_p,42.464835468003685,73,0.3028201448688735,0.5558949194636663,2.4467322378668066,0.5858584850381762
WT3,1,2019-12-19 18:00:01,4.6,mb_p,35.877646843551005,66,0.4090536897753557,0.520524903331833,2.82373303125179,-0.8431295861462093
WT3,2,2019-12-20 11:16:09,4.6,mb_p,61.166483835810375,107,0.3060677780916561,0.5347315065358278,2.6080090869225794,-0.12840833043223188
WT3,3,2019-12-20 18:00:01,4.6,mb_p,85.94432466399175,159,0.28009880874273013,0.547557935514817,2.595635269621369,0.5929634430421257
WT3,4,2019-12-21 13:01:59,4.6,mb_p,79.43243750925089,146,0.312624519839022,0.5530453194372568,2.6469196679174054,0.3343459904984063
WT3,5,2019-12-23 13:21:20,4.6,mb_p,54.64441621689338,99,0.34404178331258906,0.4746854973679225,2.532703002758535,0.7289826920450283
WT3,6,2019-12-24 13:07:02,4.6,mb_p,83.5836877901352,154,0.311543394657647,0.565594327450549,2.685528177382641,0.08164157421037477
WT3,7,2019-12-25 13:14:17,4.6,mb_p,135.41010142747746,256,0.3995665283884234,0.5263552700153705,2.328342737720515,-0.569251505096484
WT3,8,2019-12-26 13:18:41,4.6,mb_p,96.8906456998699,182,0.37312878924198634,0.5055934937958173,2.682387886256318,-0.10530092051416394
WT3,9,2019-12-27 13:18:05,4.6,mb_p,147.95012865831617,279,0.3307779229256013,0.5778582535316586,2.54312964667933,0.1140294027344255
WT3,10,2019-12-28 13:12:36,4.6,mb_p,156.8975142799317,309,0.32110496757015267,0.5515969479488114,2.8553267251989856,0.5788424104716251
