subject,n_sessions,WBIC_mean,WBIC_std,p_r_mean,p_r_std,eps_mean,eps_std
WT1,1,16.27078075723183,,0.5142453651929287,,0.2756869587099536,
WT2,1,15.442640798334049,,0.5023909727151796,,0.2725975721894092,
WT3,1,13.060968785844675,,0.5311094926538976,,0.268612733794029,
WT4,1,12.49468352365786,,0.5205796912696794,,0.2719328992669421,
WT5,1,10.077919917298724,,0.5650700457449436,,0.2651019800661422,
WT6,1,28.044693467497247,,0.5297204498348735,,0.2763345278743689,
