subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,P
WT1,0,2019-12-19 16:11:15,4.4,mf_p,20.032459949926807,102,0.35233165251842075,0.5440819880932394,0.47587449512813434,3.226402033249269,-1.632522191104935
WT2,0,2019-12-17 17:00:01,4.4,mf_p,10.914936632062622,58,0.4637683068053309,0.4438928375274807,0.5386822383326032,4.0011293747503105,-1.4443194033776159
WT3,0,2019-12-18 11:15:07,4.4,mf_p,16.900384381344182,82,0.3981365264174365,0.5086618123864824,0.4587014903224465,3.537796524595414,-0.5106206478095386
WT4,0,2020-03-13 15:52:16,4.4,mf_p,19.585991484689774,97,0.4285686190662752,0.5191608287157411,0.4711410116930596,3.8238108919272893,-0.3703526517802732
WT5,0,2020-03-13 17:01:07,4.4,mf_p,13.620619567899784,67,0.3957142148347576,0.5270057424304656,0.4824882550785559,3.3614571081723,-1.6238883124331056
WT6,0,2020-03-18 13:23:48,4.4,mf_p,26.363417279389854,141,0.3661418401151679,0.48461011936241044,0.4992702817461868,3.7970959743579,-0.3012281627237682
