subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,Wmb,P
WT1,0,2020-01-07 09:13:51,4.8,mb_p,138.49061919668998,308,0.544874784045897,0.5319587484217685,3.53580991581837,0.4752480960689603
WT1,1,2020-01-08 09:12:32,4.8,mb_p,145.08043012670987,343,0.5326828286367622,0.5966289953525817,3.6130774821640044,1.128676605404433
WT1,2,2020-01-09 09:08:36,4.8,mb_p,158.92857509172913,374,0.43515753574553684,0.5134644704200739,4.139431312607968,0.6694840029695996
WT1,3,2020-01-10 09:23:07,4.8,mb_p,136.72856151924287,330,0.4578076249787468,0.6087155929378867,4.581488544215621,0.7265106614215125
WT1,4,2020-01-11 09:11:53,4.8,mb_p,148.21595956885403,337,0.4966579558880359,0.46119636034369754,3.66423142803747,0.4391969064392966
WT1,5,2020-01-13 09:25:05,4.8,mb_p,127.96213261919488,318,0.4801454080704015,0.5299751428531861,4.794473909941144,0.7166561595767231
WT1,6,2020-01-14 09:00:32,4.8,mb_p,129.89417194309203,349,0.49698585683153074,0.6315897674420959,5.279559010202904,0.4106134204935051
WT1,7,2020-01-15 08:54:56,4.8,mb_p,112.2006704141467,318,0.5649802704617028,0.5222628662188705,5.145350420798599,1.029144828966835
WT1,8,2020-01-16 09:07:00,4.8,mb_p,132.32320198322336,334,0.44016727986783094,0.49665615035197247,4.909489526204298,0.5937104930085234
WT1,9,2020-01-17 09:29:45,4.8,mb_p,137.2266552896074,382,0.5843842307143292,0.5521652825574684,4.963299525876073,0.7085468508194923
WT1,10,2020-01-18 09:17:25,4.8,mb_p,139.14936602816525,327,0.42459935319986564,0.5972189392316596,4.046268866215372,1.0253973549441893
WT2,0,2019-12-31 11:32:14,4.8,mb_p,178.34066885705988,382,0.3112837070706667,0.407407831920409,3.857713506139082,0.18717389563641454
WT2,1,2020-01-01 11:00:00,4.8,mb_p,193.36777010699436,399,0.369127535858151,0.39694614371281317,3.306734970331461,0.13500489263493715
WT2,2,2020-01-02 11:00:01,4.8,mb_p,201.76517951016388,400,0.34612441608735195,0.47259318233428466,2.812949555694573,0.33744677721938965
WT2,3,2020-01-03 11:00:04,4.8,mb_p,206.3035255856422,424,0.38334193693388857,0.4749975390030901,2.9797194710116632,0.5384936799931004
WT2,4,2020-01-04 11:00:02,4.8,mb_p,190.95144623826556,444,0.46711688858188655,0.5483707319079852,4.222210051391428,0.38503256031607597
WT2,5,2020-01-06 11:00:01,4.8,mb_p,155.1431242226507,370,0.38167515854135936,0.52953151747393,3.9470762321051724,1.3718487625240492
WT2,6,2020-01-07 11:01:05,4.8,mb_p,159.72118850503392,416,0.35047584059264797,0.3851682126684701,5.1236188249017625,1.2041172029790106
WT2,7,2020-01-08 11:00:07,4.8,mb_p,160.8015315851912,404,0.4235534806009218,0.42306513203897317,4.583419321786791,0.7289743265425792
WT2,8,2020-01-09 11:00:01,4.8,mb_p,182.19408342548152,450,0.5112011614840596,0.5946155325283692,4.315875981309892,0.7107419267243608
WT2,9,2020-01-10 11:08:45,4.8,mb_p,167.34237587302772,413,0.4816526166953309,0.5761819462447706,4.549984461711884,0.7610738652369353
WT2,10,2020-01-11 11:00:07,4.8,mb_p,177.89143740408224,462,0.4440998844536463,0.6151627683438803,5.409978163766608,0.8143999815677643
WT2,11,2020-01-13 11:04:47,4.8,mb_p,175.55860552540437,417,0.5586342700957627,0.6639577831631269,4.104871417010449,0.3291913029145782
WT2,12,2020-01-14 11:00:03,4.8,mb_p,180.7177689695629,473,0.35320925290968264,0.3710703421977816,5.937287581014549,0.44129271148880106
WT2,13,2020-01-15 10:51:12,4.8,mb_p,198.65762992545433,468,0.3626611137430222,0.5015049037983473,4.828811694766011,0.4510342876914747
WT2,14,2020-01-16 10:48:53,4.8,mb_p,183.9892187695709,459,0.4551130955385979,0.6015125883445511,4.8301840267364655,0.593560752326564
WT2,15,2020-01-17 11:07:02,4.8,mb_p,177.58050992045327,491,0.3773672731722395,0.5508944187749698,5.661820538096526,1.070716091679325
WT2,16,2020-01-18 11:00:01,4.8,mb_p,144.89276113630382,406,0.5342195046598414,0.5701514434753453,5.622066672557508,0.5733002582354643
WT3,0,2020-01-02 13:00:09,4.8,mb_p,164.48837343309023,353,0.34112925976246283,0.49523941666131494,3.689751617520331,0.760633053117391
