subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT1,0,2019-12-19 09:23:45,4.3,hyb_inf,6.695191450621669,73,0.4120712311526459,0.48835479550835437,0.43636784374602156,3.2845727394746733,4.866845924972134,1.4078664334203856,0.6001606777119214
WT2,0,2019-12-17 10:07:45,4.3,hyb_inf,8.069713651248383,74,0.3783669630257642,0.4550209700928743,0.46573050704624686,3.0536352244871985,4.511648171065687,1.0421986361113018,0.49646693234091177
WT3,0,2019-12-17 18:00:17,4.3,hyb_inf,9.152187127039216,100,0.38130854134965364,0.46605098442262166,0.459414395615638,2.9568566148088835,4.435870523196673,1.2731164291604562,0.5398822616173202
WT4,0,2020-03-13 09:07:24,4.3,hyb_inf,8.927209245527063,88,0.41134571659526226,0.43240737205309054,0.4717761478831452,3.005724900719349,4.927359003358428,0.8520015726995178,0.5927343514084299
WT5,0,2020-03-13 10:21:19,4.3,hyb_inf,9.843373234851484,102,0.36327554371332554,0.454814244173175,0.4544949129763561,2.8386815516495094,5.152324556461818,0.7663843147703008,0.6171717503266749
WT6,0,2020-03-17 18:03:02,4.3,hyb_inf,8.52126620738337,91,0.38078678988476655,0.4159363947719294,0.4815288099481879,3.4799111393664517,5.073843337537713,0.881238970906299,0.5923512302919838
