subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,beta_mean,beta_std
WT1,1,95,0.07478587021761446,,7.104657670673374,,0.5081170756787173,,0.3322419427822596,
WT2,1,84,0.0825677624023611,,6.935692041798332,,0.4982649748650843,,0.3313999228597054,
WT3,1,77,0.07815961564534338,,6.01829040469144,,0.5214688318397176,,0.3276255962304576,
WT4,1,70,0.08391352845606462,,5.873946991924523,,0.5109360523594619,,0.3283985659355685,
WT5,1,62,0.07968685399532922,,4.940584947710412,,0.5516013049670115,,0.326878349623703,
WT6,1,161,0.06829496298015464,,10.995489039804896,,0.5245470937781697,,0.3340068746988991,
