subject,session_idx,date,stage,model,WBIC,n_trials,alpha,tmp,P
WT3,6,2019-12-24 13:07:02,4.6,rac_p,84.66267499477118,154,0.39485124129111143,0.8332881181808941,0.4022278185477178
WT3,7,2019-12-25 13:14:17,4.6,rac_p,133.1668245443865,256,0.2962088514133203,1.3622759276024123,-0.3198293181180757
WT3,8,2019-12-26 13:18:41,4.6,rac_p,96.6360800530789,182,0.4512500685066514,1.0798082062327512,0.14046148767650465
WT3,9,2019-12-27 13:18:05,4.6,rac_p,149.21580176008538,279,0.381127217598072,0.7511291153848578,0.5827897461923421
WT3,10,2019-12-28 13:12:36,4.6,rac_p,157.73139823983132,309,0.4066600600030016,0.9393942598001368,1.1904601713859482
WT4,0,2020-03-14 16:00:01,4.6,rac_p,67.4256600464203,123,0.386447535525612,1.1237074535398235,0.29519536827765513
WT4,1,2020-03-16 09:31:49,4.6,rac_p,72.72562804372323,131,0.36128648543575403,0.8525999503732627,-0.46615963638000074
WT4,2,2020-03-17 09:32:52,4.6,rac_p,96.0855271565478,184,0.3749948771191327,1.4219963654310122,0.5640975761986969
WT4,3,2020-03-18 09:06:51,4.6,rac_p,96.87491314511527,179,0.3727336323940332,0.7297186168205559,1.7125627859652797
WT4,4,2020-03-19 09:01:39,4.6,rac_p,146.52747214199215,281,0.3043691398433388,1.2341937980191569,0.6372768465435811
WT4,5,2020-03-20 09:29:03,4.6,rac_p,165.1886374811743,321,0.3882442094287361,1.0709742270655493,0.7829433002028477
WT5,0,2020-03-14 17:00:26,4.6,rac_p,64.12109926121764,121,0.3746684435717808,1.1876113340316143,-0.9656524793421537
WT5,1,2020-03-16 11:08:06,4.6,rac_p,73.98815461183364,146,0.42940973266439486,0.9135488193443,2.6722316717984484
WT5,2,2020-03-17 11:10:20,4.6,rac_p,96.141820834397,179,0.3155874316415164,0.9705494840700123,0.18779561385936921
WT5,3,2020-03-18 11:05:06,4.6,rac_p,35.536180180012536,70,0.4315486852699109,1.3911402070699097,2.163325391497041
WT5,4,2020-03-19 11:05:09,4.6,rac_p,97.95694953237141,178,0.4069368872354153,0.6043828257483339,1.1819774328584567
WT5,5,2020-03-20 11:21:48,4.6,rac_p,116.73158575153604,224,0.41712137704047514,0.9176079733512436,1.074509176175505
WT5,6,2020-03-21 11:17:38,4.6,rac_p,97.73723398130387,182,0.4098363783203007,1.1298477164002452,-0.2642006347066906
WT5,7,2020-03-23 10:56:03,4.6,rac_p,79.18124218960341,146,0.3481584442673334,0.9289355957382945,0.2631340508237795
WT5,8,2020-03-24 11:17:48,4.6,rac_p,152.09151445089785,289,0.38915616091909816,1.079695224470625,0.07224757672343073
WT6,0,2020-03-20 13:00:34,4.6,rac_p,118.71050067238718,227,0.3897433356150424,0.9283864632776107,1.0117887672312376
WT6,1,2020-03-21 12:53:00,4.6,rac_p,141.39039764386638,301,0.30910740725268565,1.2721170952397531,1.7790485299216143
