subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT1,0,2020-01-07 09:13:51,4.8,hyb_p,137.69522274499406,308,0.4740298738816008,0.5657648196094863,0.5852228801975374,2.6061026872643662,2.999460806739268,-0.11330085415259343
WT1,1,2020-01-08 09:12:32,4.8,hyb_p,149.26660800118032,343,0.38110159198923976,0.6259131441393638,0.47611974532013085,2.4839851426646735,3.66970518953609,0.7779496597530513
WT1,2,2020-01-09 09:08:36,4.8,hyb_p,160.95840885226337,374,0.2834836889180579,0.5500428382440725,0.45717866735168966,2.8058678321172366,4.088734700876763,0.3681105039257759
WT1,3,2020-01-10 09:23:07,4.8,hyb_p,137.54366763054264,330,0.3795445241643035,0.6831722729423502,0.4278669791627406,2.907224100773828,4.2699927204413335,0.23078591930107228
WT1,4,2020-01-11 09:11:53,4.8,hyb_p,152.3446937437329,337,0.32707181400139484,0.5350152715933453,0.4617427585433952,2.4159642887275545,3.619207170654693,0.12093757000338562
WT1,5,2020-01-13 09:25:05,4.8,hyb_p,129.9564581240357,318,0.38196327664508006,0.5527001517666724,0.4811334827495122,2.6284477996266316,4.252717281926834,0.3244325946222198
WT1,6,2020-01-14 09:00:32,4.8,hyb_p,131.67538460993026,349,0.5255101219012237,0.6765311973646976,0.40521859031332264,2.3090710195198336,4.1401386005164404,-0.06908134884180442
WT1,7,2020-01-15 08:54:56,4.8,hyb_p,114.42328319949743,318,0.5536222040670434,0.5622972419002307,0.5073495506595218,2.4499667182513396,3.993327026235895,0.6037556495202406
WT1,8,2020-01-16 09:07:00,4.8,hyb_p,133.5219891783747,334,0.38984253474785263,0.5291971292897693,0.47289773992238593,2.7126897449462257,4.050709321154609,0.10610322406859045
WT1,9,2020-01-17 09:29:45,4.8,hyb_p,142.11663355431915,382,0.5446904372060661,0.5919395185138238,0.5129573471396568,1.874713224735883,4.193008927365188,0.28609959264591667
WT1,10,2020-01-18 09:17:25,4.8,hyb_p,137.62095997516974,327,0.2986804050836902,0.6049540144486498,0.4775807265776883,3.426055108822367,3.831295962767831,0.547136645201069
WT2,0,2019-12-31 11:32:14,4.8,hyb_p,172.41737060495495,382,0.19021312384030484,0.45791717443226576,0.4837486716211438,3.9756286523510327,3.3167849937208467,-0.27861883310612734
WT2,1,2020-01-01 11:00:00,4.8,hyb_p,194.02735243404857,399,0.22367945725084476,0.4739011992834655,0.46057815572259186,3.109945651318748,3.327454876833732,-0.13240666570921597
WT2,2,2020-01-02 11:00:01,4.8,hyb_p,203.49300122395758,400,0.1981226519749413,0.5284086983336784,0.4256578273463778,2.986500746576211,3.323464410525686,0.09660402570143206
WT2,3,2020-01-03 11:00:04,4.8,hyb_p,207.8123594602862,424,0.1927559307835919,0.48624822988631977,0.45102071419028855,3.0044642780687485,3.410935347315459,0.3640259289054395
WT2,4,2020-01-04 11:00:02,4.8,hyb_p,194.3090901643559,444,0.353358411870886,0.5846844556560323,0.45806759939897806,2.3339605210777337,4.197389533873497,-0.03076856176079075
WT2,5,2020-01-06 11:00:01,4.8,hyb_p,152.23343426800236,370,0.2767700734527715,0.5861785591336873,0.48067850404811086,3.7202978976198415,3.797081657131597,0.7727236709784181
WT2,6,2020-01-07 11:01:05,4.8,hyb_p,156.5935719386171,416,0.27343613536670924,0.44209684015818435,0.4900765390443339,3.6157098553456652,4.361348871306201,0.5928460770910291
WT2,7,2020-01-08 11:00:07,4.8,hyb_p,158.88933374863694,404,0.3297641046309658,0.5294429248500088,0.5080965510891867,3.357406985419928,3.8127511396059632,0.13769043594849473
WT2,8,2020-01-09 11:00:01,4.8,hyb_p,185.6992482528866,450,0.399824224184774,0.6211631515376002,0.4314556351947837,2.3150964522440427,4.107049914552805,0.3397396025969355
WT2,9,2020-01-10 11:08:45,4.8,hyb_p,167.7145863433478,413,0.36574056607666205,0.6083411096476745,0.4901959290265039,2.787372918212337,4.021671684182226,0.36009875767499744
