subject,n_sessions,WBIC_mean,WBIC_std,p_r_mean,p_r_std,i_temp_mean,i_temp_std,P_mean,P_std
WT1,5,97.50311722414835,29.959517895478996,0.48224248791293506,0.09554253435044176,4.181457141342627,0.3108344176909324,0.10116203624885296,0.2959460470201602
WT2,11,100.84758637202384,52.96754216303353,0.5256071700562644,0.07254841371173497,4.153446850650599,0.25506666661204014,0.01858447412603645,0.45067117656691197
WT3,11,87.76161090466695,42.74452934839313,0.5134925052245136,0.073022653846079,4.1978003729706606,0.2787623225997161,0.3489802410400433,0.48508553649022595
WT4,6,106.33820976099973,41.83693055633324,0.5438474552301719,0.06016439230149952,4.122201121380247,0.36091476251812027,0.5133073421397766,0.522239153575875
WT5,9,87.55926702604371,34.708911780466586,0.5574315081355748,0.08227279583376977,4.39025080202012,0.4666743847835204,0.5978034473001465,0.9507515769309126
WT6,2,126.99541723549643,12.733590318917766,0.41813427450510987,0.08473326534618045,4.030749655478273,0.17512266206431074,1.1710517071560933,0.5613448287961732
