subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,Winf_mean,Winf_std,P_mean,P_std,p_r_mean,p_r_std
WT1,11,48.16114603692013,3.8281004709526165,0.4003325717623577,0.057844352526373245,0.4371732896059212,0.030156654519144534,0.4975369289330434,0.03760967498346775,2.6512026477733714,0.26495787859081027,5.4219907042056885,0.7042197256167387,0.806089168248414,0.12535576516221067,0.30540608883640813,0.039655148222634794
WT2,17,59.18413042034615,5.692787831912211,0.31923096848800725,0.04116163559343842,0.39896289028508486,0.03390744000739193,0.46639973403789614,0.02460821899140925,2.886659494134234,0.44923197468053006,5.488366308827715,1.1721291501263404,0.6760033570039317,0.14269381860748662,0.299235856475799,0.07606464044227368
WT3,14,56.63266045274947,3.766242800803164,0.3152114152448887,0.02387557151431987,0.42955437012336034,0.02180511872975775,0.4558515111830446,0.022616825432037992,2.867239800712043,0.2385753067198587,4.489990682088469,0.4685745612175419,0.7679784655237878,0.13563964090151265,0.34847986342966875,0.05691171577424879
WT4,15,57.48731887547189,7.0674120763515536,0.3264928332894899,0.02316049709379618,0.39851008916539604,0.03950471828969683,0.47849621703082845,0.02664548989306627,3.094266641714187,0.5864342885398319,5.242576213116874,0.9044694161430227,0.7253537135696563,0.11408502188759813,0.28539263045269114,0.08440846269730294
WT5,16,54.19626734356869,6.667169225333246,0.3671974073051323,0.04607347230883433,0.43634108276342115,0.04668967985820336,0.4940803595646891,0.027841897547536222,2.7738622002871756,0.31356568089756953,4.645464545086495,0.4399211438555687,0.800304906244462,0.14638525602689373,0.35302462064376067,0.0490750549710275
WT6,16,46.379323889777005,5.027416518640351,0.40707300376410743,0.040239108490866246,0.45741789533338284,0.045007792429669416,0.5205109718921148,0.028953878342536456,3.4591169096421464,0.4927448414037301,4.840665866723759,0.32316453123046873,1.1394161036023753,0.2114716400442304,0.3233914230761946,0.036027341547875555
