subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,Wmb_mean,Wmb_std,P_mean,P_std
WT1,5,98.01377842662508,28.074429740143117,0.33226139707994257,0.03982272403696627,0.5430256820628624,0.050265353366565735,2.6611911409191533,0.35985125230351245,-0.10387031527604929,0.24459111308158143
WT2,11,102.76083462080216,52.55537744854912,0.3264996717631232,0.036505571494314236,0.5392396719195137,0.030794999118281586,2.4597430830848257,0.20384161315560081,-0.23438704645937136,0.4638226291615067
WT3,11,89.11474749029377,41.68205084351091,0.33552984794673063,0.04163386301395452,0.5375853067630483,0.0294645994178998,2.613495224506934,0.15319404571909573,0.12459760507737026,0.508378497440768
WT4,6,107.95510181232426,41.18515622390733,0.29689816104833583,0.0386198938553108,0.544515636231309,0.04345748243146484,2.590440120978953,0.3116458223158668,0.2953616171601696,0.5174765135653187
WT5,9,90.00671357088143,33.913413080343176,0.29630255862186927,0.045818603902213935,0.5428489926180804,0.03385571635913437,2.6814232870043666,0.34646425761988386,0.35594429354554635,0.987022251249964
WT6,2,126.99436483255931,11.92734565925901,0.3257406937838405,0.012195338826319605,0.5113766187928919,0.05434406397165229,2.8305142672350216,0.3370296494959489,0.9725712368697316,0.542708314497852
