subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT1,0,2019-12-20 16:00:06,4.6,ls_asym_p,47.88345619595024,97,0.5169467891232538,3.4520843523924816,-0.8688965523698534
WT1,1,2019-12-21 09:33:10,4.6,ls_asym_p,89.84554899155592,157,0.4877213475445853,0.9598857660229922,0.2708385675976291
WT1,2,2019-12-23 09:30:55,4.6,ls_asym_p,119.46036357946217,215,0.4819971749335963,1.1069637198649012,-0.24441476965349493
WT1,3,2019-12-24 09:39:26,4.6,ls_asym_p,114.4990487243686,207,0.47696012852466724,1.1028228220866827,0.5383821648854324
WT1,4,2019-12-25 09:38:22,4.6,ls_asym_p,126.85127757654531,247,0.41524621791858507,1.9984128256207696,0.3992569325871975
WT2,0,2019-12-18 17:03:09,4.6,ls_asym_p,53.99650988813687,96,0.4430902482961364,1.935479442493236,-0.5590383077219345
WT2,1,2019-12-19 10:20:58,4.6,ls_asym_p,39.24520726180688,64,0.5301338153527344,1.5056524246459928,-0.21129694786198933
WT2,2,2019-12-19 17:05:45,4.6,ls_asym_p,68.34736670264843,115,0.504835059819418,1.0997266455880002,-0.07489044147481848
WT2,3,2019-12-20 10:14:50,4.6,ls_asym_p,61.9290748272334,104,0.49517476426831736,1.133094653216168,0.11708722666752162
WT2,4,2019-12-20 17:00:08,4.6,ls_asym_p,60.37864657829176,104,0.5098687994129498,1.0637836273293133,1.024534236484204
WT2,5,2019-12-21 11:14:23,4.6,ls_asym_p,106.88621441788345,189,0.5501539034180275,0.9341425751133675,0.18924831904799824
WT2,6,2019-12-23 11:36:56,4.6,ls_asym_p,144.83509315714687,271,0.4652216819656015,1.275170334988599,-0.596932177652814
WT2,7,2019-12-24 11:23:40,4.6,ls_asym_p,163.27987136590724,297,0.5072309240315979,0.9693551133108605,0.09675010362032264
WT2,8,2019-12-25 11:35:03,4.6,ls_asym_p,109.80496215645789,203,0.4730737992300748,1.280439990044972,0.7028384092370604
WT2,9,2019-12-26 11:23:18,4.6,ls_asym_p,155.41269860653853,284,0.5523511319094278,0.9799293980489517,-0.32230045421302483
WT2,10,2019-12-27 11:07:56,4.6,ls_asym_p,197.5387928491577,368,0.45150240529720465,1.2207286080327222,0.06150307699719239
