subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,beta_mean,beta_std
WT1,1,102,0.07722758499562339,,7.877213669553585,,0.5184149683467019,,0.3329281736238718,
WT2,1,58,0.08844724974752007,,5.129940485356164,,0.4764374856222203,,0.3277524071076675,
WT3,1,82,0.0767785887091212,,6.295844274147939,,0.5257996118413574,,0.3302968737867277,
WT4,1,97,0.07877981345048315,,7.641641904696867,,0.5074953453786383,,0.3316469743053001,
WT5,1,67,0.08313653824215107,,5.5701480622241215,,0.5437233759650747,,0.3275279790428899,
WT6,1,141,0.06978857603580536,,9.840189221048556,,0.5104432686571304,,0.3308693155642136,
