subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,p_r_mean,p_r_std,i_temp_mean,i_temp_std,P_mean,P_std
WT1,1,95,0.1861948095000456,,17.688506902504333,,0.4986719916003125,,4.472982665395098,,-0.6205250662392212,
WT2,1,84,0.2040554463984345,,17.1406574974685,,0.4800909085312252,,4.482131681268234,,-0.0559749513633898,
WT3,1,77,0.18505583206563286,,14.24929906905373,,0.5416763923690107,,4.739344012771029,,0.561834838396911,
WT4,1,70,0.1908162207145409,,13.357135450017864,,0.5333905936232589,,4.833804319411739,,-0.462439620020479,
WT5,1,62,0.18689184305031684,,11.587294269119644,,0.5811206013113434,,4.810739675375644,,-0.1355767654017113,
WT6,1,161,0.18684937494433035,,30.082749366037184,,0.5365418508489534,,4.354109539957026,,0.4960365079796257,
