subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,P_mean,P_std
WT1,1,38.035604788070806,,0.3194716032571947,,0.5728719256024388,,0.4442999696534895,,2.864521293242391,,-1.3322308256663882,
WT2,1,23.613714140028545,,0.3609557809353536,,0.4898516164568364,,0.4764204990526214,,3.1236126490155893,,-0.560392810216015,
WT3,1,38.84131075685169,,0.3379489228220029,,0.5791959648412951,,0.4222547917229428,,3.569053036175219,,1.0562658885281322,
WT4,1,34.406038066632426,,0.3293019226890906,,0.5317658066821037,,0.4450805407924448,,2.7888457601581265,,-0.9160564779242032,
WT5,1,41.07719998669938,,0.3359186496555408,,0.5716677629299077,,0.4258962690344946,,3.1561018160623804,,-0.5979031757137415,
WT6,2,36.689855106033846,27.735961056508007,0.3286260775325951,0.04397293667686077,0.5459681204735167,0.0048798470957770335,0.4441756946729811,7.700928458103828e-05,3.3142674954338043,0.4741832616969396,0.1342689468481335,0.5798466158849473
