subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT1,0,2019-12-26 09:42:54,4.7,hyb_inf,39.42601935873371,229,0.3944986574872616,0.4470869554470197,0.4914749025963298,2.870087182820601,4.0037717523647816,0.8786651219531874,0.437026878198713
WT1,1,2019-12-27 09:25:53,4.7,hyb_inf,37.30630505323733,197,0.322546347727945,0.4183498124510992,0.42831742114414545,3.128260009041642,4.062359022734575,0.8039610865916097,0.5147674768297051
WT1,2,2019-12-28 09:37:17,4.7,hyb_inf,29.956930629801796,224,0.3756344033703766,0.4975349967798944,0.4486979758191001,3.6808860129579286,4.085042333116597,1.7044267249579004,0.5245731321088043
WT1,3,2019-12-30 09:23:18,4.7,hyb_inf,31.45318950168967,168,0.3710501541661632,0.42592993558064185,0.5069671187795113,3.0541719704341674,4.235378975388275,0.8332974450524278,0.4274263636348428
WT1,4,2019-12-31 09:49:32,4.7,hyb_inf,45.56167015105187,263,0.3727101316509676,0.46648311537888487,0.4795927474533307,2.3256479497872142,4.378191713766652,0.8593835581200672,0.40227127693380715
WT1,5,2020-01-01 09:02:33,4.7,hyb_inf,51.710932616309286,302,0.3521312176514976,0.4387911263562542,0.47714584736348975,2.327223998705704,4.344687110311053,0.6247013067705843,0.3747440116997688
WT1,6,2020-01-02 09:19:31,4.7,hyb_inf,51.19019730051036,297,0.34943440182802543,0.46661697226489196,0.46418371611233644,2.3767203011050233,4.500903673223856,0.7411164293673443,0.38667029769644523
WT1,7,2020-01-03 09:14:07,4.7,hyb_inf,42.81965583285915,266,0.38064244481740134,0.47243155165131784,0.4666753380028122,2.3779236359859537,4.45032282045365,1.0685587293325454,0.37944997900604727
WT1,8,2020-01-04 09:15:57,4.7,hyb_inf,54.94838873637102,344,0.34190060895229285,0.41248005735790805,0.5045132731031917,2.2869357037250704,5.19054673241347,0.4647274762838654,0.2760880675521343
WT1,9,2020-01-06 09:09:05,4.7,hyb_inf,41.10424831021679,279,0.37651895889882614,0.4507923600883297,0.4859669693986469,3.002929484751873,4.738151500387329,0.9790519625984913,0.3248210200727057
WT2,0,2019-12-28 11:25:17,4.7,hyb_inf,60.91889957090385,354,0.3222970399637608,0.3994844871897472,0.468369681517255,2.4168440343007394,3.8953879923573242,0.5501602639484877,0.45275387666954126
WT2,1,2019-12-30 11:12:59,4.7,hyb_inf,59.655774742023105,339,0.28495581261248726,0.3704980792538792,0.4435329725502978,2.4875638730241896,3.8401373776983188,0.4538439984862122,0.3961247132766354
WT3,0,2019-12-30 13:00:32,4.7,hyb_inf,41.6147880214815,208,0.36540579806921797,0.41103541942770744,0.47716091234980623,2.2485344783398213,3.8837413432974914,0.5363667680288887,0.48136922046452785
WT3,1,2019-12-31 13:21:37,4.7,hyb_inf,46.37525024174767,274,0.313865291838931,0.4013377952172871,0.4596551059117434,3.113464459373709,3.933494792878371,0.7858298521577712,0.4342836017266869
WT3,2,2020-01-01 13:07:32,4.7,hyb_inf,54.55775219404925,350,0.32527860732184344,0.4423388472852164,0.45069366241560344,2.6093804240933665,4.724940599653223,0.7898493018082186,0.3257926136484305
WT4,0,2020-03-21 09:12:39,4.7,hyb_inf,48.69791238569868,259,0.35557585012448967,0.44510411582962645,0.46467000735426306,2.26337688478888,3.8630621473542757,0.7257143182516523,0.5472452253246887
WT4,1,2020-03-23 09:08:59,4.7,hyb_inf,48.15855861788707,254,0.3274055778945351,0.43115283384268127,0.47417353877547613,2.5000703685294727,3.935953992960582,0.6170796920712486,0.504996272670481
WT4,2,2020-03-24 09:27:54,4.7,hyb_inf,59.63150774593463,333,0.2728394773832215,0.4425302944567803,0.4105420445445709,2.5643322023967294,3.9655931449472024,0.6081271022567076,0.5743784335847522
WT4,3,2020-03-25 09:18:00,4.7,hyb_inf,64.03889585943436,379,0.2618365776249922,0.3812833503890697,0.4568327135636784,3.0375253523911914,4.0898704072410315,0.5588784671513554,0.6076014539838336
WT4,4,2020-03-26 09:24:39,4.7,hyb_inf,45.95486997673351,259,0.24031726456203867,0.36723724514656514,0.44507527404436786,3.5541772765550657,3.9071798701899714,0.5688787932301265,0.4732450192533816
WT4,5,2020-03-27 09:30:39,4.7,hyb_inf,60.03681687811499,347,0.2907327763733271,0.388538480755732,0.4709798138774774,2.6022390604042167,3.7028619601941566,0.539827215206471,0.4660242342925995
WT4,6,2020-03-28 09:25:59,4.7,hyb_inf,67.68513377667666,400,0.2777335490859164,0.42420910591416666,0.4199538054167026,2.375370039180252,3.957126088567631,0.6109157851048909,0.434903748413444
WT4,7,2020-03-30 09:26:19,4.7,hyb_inf,63.82676821439138,371,0.31544876248235965,0.41348124752369664,0.430156189598647,2.336047410427633,4.047285001751626,0.5463433930703353,0.39949989003151337
WT5,0,2020-03-25 11:07:28,4.7,hyb_inf,57.323478424738155,329,0.2682092635856597,0.37282142010091684,0.5075290737206328,2.887247787067205,3.9123472180366874,0.5224471041773764,0.5349688744801651
WT5,1,2020-03-26 11:01:42,4.7,hyb_inf,46.8998574259578,266,0.27109516488912605,0.36268725118046635,0.4714619815278608,3.2151992578930155,4.063396528677586,0.5818970677342541,0.5352834721414855
WT5,2,2020-03-27 11:05:55,4.7,hyb_inf,58.15898381976002,359,0.33675740767200035,0.4114577035217514,0.4947229457401291,2.99099454670795,3.9069265259654022,0.6386617686475031,0.43872495787342464
WT5,3,2020-03-28 11:04:07,4.7,hyb_inf,55.03954466382095,347,0.356666140206905,0.40655497608414476,0.4908779185390142,2.4804786648936874,4.728296519339102,0.585756036725265,0.30750461059997186
WT5,4,2020-03-30 11:18:27,4.7,hyb_inf,37.43734378245605,234,0.3200953440506472,0.3892284159544775,0.4819728119364109,3.735260557147648,4.0510811230587365,0.8789021391307172,0.48478386761935605
WT6,0,2020-03-23 13:01:34,4.7,hyb_inf,47.530776936410156,283,0.36679792037777387,0.4458884687275897,0.46239461924575037,2.722842691724252,3.958209938930065,1.0109650412803348,0.5108547132700002
