subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT2,13,2020-01-15 10:51:12,4.8,ls_asym_p,201.02602133137944,468,0.15312918839206513,6.401909178875873,0.6077253140443692
WT2,14,2020-01-16 10:48:53,4.8,ls_asym_p,187.126917579172,459,0.1931934227651851,7.592507928481949,0.8556847687948423
WT2,15,2020-01-17 11:07:02,4.8,ls_asym_p,182.6875340063331,491,0.171156505118887,7.543475499572787,1.317338483832507
WT2,16,2020-01-18 11:00:01,4.8,ls_asym_p,145.93156502954568,406,0.1656433986354594,9.348113441137492,0.7669975703644605
WT3,0,2020-01-02 13:00:09,4.8,ls_asym_p,166.76812736768258,353,0.25755881957485705,4.655115307397533,0.92917149527875
WT3,1,2020-01-03 13:00:02,4.8,ls_asym_p,189.8704690982526,372,0.33635066797994645,4.508613008777468,0.48864056078852736
WT3,2,2020-01-04 13:00:01,4.8,ls_asym_p,153.3859830779452,357,0.19541693122827486,5.896867086685264,1.0456011968923027
WT3,3,2020-01-07 13:00:09,4.8,ls_asym_p,186.7456297114552,390,0.24772575148429668,4.434066064871722,0.7682446631996271
WT3,4,2020-01-08 14:07:07,4.8,ls_asym_p,194.35367979625278,404,0.3213277266131825,4.413848265887285,1.0338687521841305
WT3,5,2020-01-09 13:08:29,4.8,ls_asym_p,167.52282305995234,380,0.22387859919839892,4.741735379514578,1.29515661580088
WT3,6,2020-01-10 13:10:02,4.8,ls_asym_p,162.76738037164532,367,0.22629175684589528,5.471210005524638,1.0417855879396498
WT3,7,2020-01-11 13:00:00,4.8,ls_asym_p,153.26039968893116,368,0.1685298328642163,5.729707644156412,0.9319408629894542
WT3,8,2020-01-13 13:00:15,4.8,ls_asym_p,163.2542975612924,330,0.2958518152253163,4.768458553173282,0.45765198139928265
WT3,9,2020-01-14 13:08:00,4.8,ls_asym_p,168.70475572930033,360,0.2646669919899041,4.904853703705992,1.0428593707940776
WT3,10,2020-01-15 12:43:34,4.8,ls_asym_p,163.18726070256778,381,0.24060297929805508,5.8064952107542025,1.3532054564652831
WT3,11,2020-01-16 12:45:33,4.8,ls_asym_p,157.17314973028147,412,0.1745761469930859,6.475213099270177,1.4319885413513078
WT3,12,2020-01-17 12:56:59,4.8,ls_asym_p,174.1359014804866,414,0.18377608631551398,5.423515464354289,1.1853651297131265
WT3,13,2020-01-18 12:57:33,4.8,ls_asym_p,170.57058772810745,386,0.20252290149610255,5.642614875396691,0.8981964217068449
WT4,0,2020-03-31 09:17:00,4.8,ls_asym_p,181.86533036799094,370,0.3271300069575753,4.21536807993045,0.8304009245165311
WT4,1,2020-04-01 09:06:23,4.8,ls_asym_p,216.47974833179643,441,0.31610924752987485,4.776768959058941,0.7846967617765023
WT4,2,2020-04-02 09:36:56,4.8,ls_asym_p,207.95924052904192,468,0.2157248396622837,5.422048655816762,1.1207444061137541
WT4,3,2020-04-03 09:10:40,4.8,ls_asym_p,188.35999458942288,481,0.12898580506218402,7.177313689246228,0.5623720722381873
WT4,4,2020-04-04 09:21:12,4.8,ls_asym_p,201.04120365273045,463,0.16333222803569758,5.487403779725481,1.0526678698948937
WT4,5,2020-04-06 09:20:56,4.8,ls_asym_p,177.3957836096374,426,0.18125505865395605,5.73595752798181,1.2107662274140685
WT4,6,2020-04-07 09:08:29,4.8,ls_asym_p,159.30798960605722,446,0.10871956181090565,5.858947520361914,1.435707336848729
WT4,7,2020-04-08 09:10:22,4.8,ls_asym_p,184.96265362997795,419,0.2107710981358002,4.335884190646502,1.2865438664477888
WT4,8,2020-04-10 09:06:58,4.8,ls_asym_p,143.2677466520902,361,0.16424909567962115,7.271048570887306,0.8643139065608217
WT4,9,2020-04-11 09:09:52,4.8,ls_asym_p,179.63462969247524,468,0.14595152378810564,7.594741096085565,0.9296957035068552
WT4,10,2020-04-13 09:07:22,4.8,ls_asym_p,145.39875254991773,346,0.1704740940620339,7.2129020095163305,0.5234135331269699
WT4,11,2020-04-14 09:10:43,4.8,ls_asym_p,156.91162557742356,472,0.10438520789973575,7.35467736301198,1.0620018047066107
WT4,12,2020-04-15 08:58:47,4.8,ls_asym_p,173.59769727683843,469,0.1046630092859172,6.821672306287928,0.7807193931837991
WT4,13,2020-04-16 09:00:43,4.8,ls_asym_p,188.9301676440022,482,0.12833401328514502,6.412548816649895,1.0659399498895172
WT4,14,2020-04-17 09:20:26,4.8,ls_asym_p,161.43769637516831,437,0.12937858291622792,7.413200610268955,0.9019594689682421
WT5,0,2020-03-31 10:54:09,4.8,ls_asym_p,154.12844430593094,324,0.2802691618667399,4.7450210206739,0.8119650981107943
WT5,1,2020-04-01 10:50:07,4.8,ls_asym_p,135.39919651187935,294,0.31837212328368186,5.032895058830316,1.3212337181988305
WT5,2,2020-04-02 11:13:52,4.8,ls_asym_p,187.6362496199934,393,0.24319843487314471,5.2413541097624154,0.7116625965300507
WT5,3,2020-04-03 11:00:55,4.8,ls_asym_p,141.44635018856113,319,0.281682530444088,5.790900306349868,1.1758894128918622
WT5,4,2020-04-04 11:00:06,4.8,ls_asym_p,165.5553795250021,362,0.2788061424554201,5.089834713481413,1.1990142920954137
WT5,5,2020-04-06 11:00:00,4.8,ls_asym_p,157.84741727207978,354,0.25078066918962283,5.347943027168321,1.2025645421661446
WT5,6,2020-04-07 10:58:14,4.8,ls_asym_p,171.90187457039607,382,0.24992486040479692,5.088307015052391,1.171321454939951
WT5,7,2020-04-08 11:00:01,4.8,ls_asym_p,175.0776921767409,403,0.29349584347079044,4.770503541297577,1.6135070669559035
WT5,8,2020-04-09 11:02:54,4.8,ls_asym_p,153.67338886278938,375,0.13807464011254328,5.661395799091265,0.9854062001268056
WT5,9,2020-04-10 11:00:11,4.8,ls_asym_p,169.6527858808393,405,0.22000873764539833,6.0598631386937925,1.3522049685574684
WT5,10,2020-04-11 11:06:05,4.8,ls_asym_p,168.83386016625164,398,0.1934109633935188,6.398305038550101,0.9455217165203528
WT5,11,2020-04-13 11:00:00,4.8,ls_asym_p,174.67038109917556,351,0.36511232766927104,4.220684645099817,0.8991534229711381
WT5,12,2020-04-14 11:07:08,4.8,ls_asym_p,172.90088670511506,387,0.17147596430999054,5.8188612568203135,0.5984865852792216
WT5,13,2020-04-15 11:00:01,4.8,ls_asym_p,182.64417397436026,424,0.19783446561225737,6.300616473391158,0.990575917196187
WT5,14,2020-04-16 11:02:50,4.8,ls_asym_p,183.56077063841028,431,0.2073080752862474,6.492871522909327,1.0182294954041755
WT5,15,2020-04-17 10:57:03,4.8,ls_asym_p,96.00681312549379,232,0.21997773372336907,6.079057369617359,1.2475401281725917
WT6,0,2020-03-31 13:10:13,4.8,ls_asym_p,145.5038751453073,391,0.20210383068817395,5.404810224224431,2.0168214230208377
WT6,1,2020-04-01 13:00:46,4.8,ls_asym_p,147.72223471594114,390,0.25778669929587145,5.253261502359683,2.03777813994807
WT6,2,2020-04-02 12:55:01,4.8,ls_asym_p,123.91796593841083,397,0.14461497444863944,6.270543432016765,2.3607250806711706
WT6,3,2020-04-03 13:09:48,4.8,ls_asym_p,130.52226627002585,393,0.19982330424331235,6.558960859648969,2.247864618552638
WT6,4,2020-04-04 13:08:37,4.8,ls_asym_p,151.93197155589067,427,0.23784925247681418,6.012327839737502,2.2845977980907834
WT6,5,2020-04-06 13:17:03,4.8,ls_asym_p,164.20896386878619,398,0.17911376981414437,5.8912601308232935,1.2276528434730698
WT6,6,2020-04-07 13:18:33,4.8,ls_asym_p,148.47672063753174,407,0.1777878888982046,6.228313821638618,1.9288248876114726
WT6,7,2020-04-08 13:08:31,4.8,ls_asym_p,144.47484654499854,433,0.20323965974373076,6.085275008870223,2.384730266410227
WT6,8,2020-04-09 13:05:38,4.8,ls_asym_p,148.02383119062566,421,0.18173255701816368,6.332460809519723,1.9937130779710266
WT6,9,2020-04-10 13:03:43,4.8,ls_asym_p,165.13200366017,419,0.2526301485462322,4.6816372278278,2.082300201530457
WT6,10,2020-04-11 13:06:45,4.8,ls_asym_p,160.22028024095334,403,0.13909902085457737,5.998331084076046,1.0826829190433733
WT6,11,2020-04-13 13:13:41,4.8,ls_asym_p,120.86293820769274,315,0.21353865695696167,5.881491053778298,1.6963879250503144
WT6,12,2020-04-14 13:08:47,4.8,ls_asym_p,132.21005841758785,413,0.11594124305203939,6.475902294620687,1.7129055871261416
WT6,13,2020-04-15 13:07:31,4.8,ls_asym_p,148.0186130224659,391,0.15301968850332084,5.8121289204876385,1.4553256946042785
WT6,14,2020-04-16 13:28:36,4.8,ls_asym_p,111.18438721876988,286,0.14865813206087558,5.981095686934856,1.266962884204396
WT6,15,2020-04-17 13:37:22,4.8,ls_asym_p,154.01131867746994,418,0.1623300471836098,5.862288862470354,1.8217984850076774
