subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT1,0,2020-01-07 09:13:51,4.8,ls_asym_p,141.53292706168082,308,0.2434381509466748,6.106179140363331,0.7165433435010685
WT1,1,2020-01-08 09:12:32,4.8,ls_asym_p,147.15845714529385,343,0.2616737013342238,6.2380001344228955,1.3257244882461414
WT1,2,2020-01-09 09:08:36,4.8,ls_asym_p,159.68744976993338,374,0.1963262393142097,6.316914936383007,0.8622102046013098
WT1,3,2020-01-10 09:23:07,4.8,ls_asym_p,140.0704266714357,330,0.21302292124408398,6.813609307974599,0.9930411257593035
WT1,4,2020-01-11 09:11:53,4.8,ls_asym_p,148.757297198148,337,0.20092938914698277,6.21825357826677,0.5858565325700525
WT1,5,2020-01-13 09:25:05,4.8,ls_asym_p,132.26763239848637,318,0.20111193933876237,6.842735548494079,1.0091720718808188
WT1,6,2020-01-14 09:00:32,4.8,ls_asym_p,134.42162328321288,349,0.18438193234768066,8.211435638346067,0.7743567842797215
WT1,7,2020-01-15 08:54:56,4.8,ls_asym_p,113.485292561604,318,0.17719811254806492,8.095036328113832,1.2420240648866485
WT1,8,2020-01-16 09:07:00,4.8,ls_asym_p,132.63342732774444,334,0.15837569902863033,6.933198739985703,0.7504955125093887
WT1,9,2020-01-17 09:29:45,4.8,ls_asym_p,140.62691038184101,382,0.18480832102024009,8.868651046929646,0.9154957141816549
WT1,10,2020-01-18 09:17:25,4.8,ls_asym_p,142.99027294762215,327,0.2626821619520669,5.731657361151302,1.2847843195297208
WT2,0,2019-12-31 11:32:14,4.8,ls_asym_p,179.71129587300948,382,0.1748037039231378,4.738856523721797,0.30439272584360494
WT2,1,2020-01-01 11:00:00,4.8,ls_asym_p,196.72891905907633,399,0.2573964701311219,4.618307488286152,0.3431534839569258
WT2,2,2020-01-02 11:00:01,4.8,ls_asym_p,203.29832615971108,400,0.3065043380131849,4.089973196250704,0.44934555702560336
WT2,3,2020-01-03 11:00:04,4.8,ls_asym_p,207.3401035283313,424,0.26586525579004333,4.607329440502957,0.6626912551294191
WT2,4,2020-01-04 11:00:02,4.8,ls_asym_p,190.2663953994329,444,0.16953821412214723,6.878924293926229,0.4963849452817451
WT2,5,2020-01-06 11:00:01,4.8,ls_asym_p,157.40219444949545,370,0.252376895498652,5.189558100011842,1.5542165892380737
WT2,6,2020-01-07 11:01:05,4.8,ls_asym_p,157.39966423281325,416,0.12243957262255885,6.195193012626322,1.2546396841433447
WT2,7,2020-01-08 11:00:07,4.8,ls_asym_p,163.51108766817688,404,0.16395291051434954,6.589480128240187,0.9180728028399371
WT2,8,2020-01-09 11:00:01,4.8,ls_asym_p,184.19783408383424,450,0.19583647892945602,7.605148109921812,0.9107561895090427
WT2,9,2020-01-10 11:08:45,4.8,ls_asym_p,170.0480577604365,413,0.19163996072965067,6.969994990608579,1.0099857808353891
WT2,10,2020-01-11 11:00:07,4.8,ls_asym_p,181.70489113935105,462,0.16786908902157519,7.671359199849668,0.9719146668996282
WT2,11,2020-01-13 11:04:47,4.8,ls_asym_p,178.8126944694969,417,0.21770241584455777,7.787476674461462,0.617815371804909
WT2,12,2020-01-14 11:00:03,4.8,ls_asym_p,181.01471654042714,473,0.09696941062527874,6.84516414546464,0.48471910889203357
