subject,n_sessions,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,Wmb_mean,Wmb_std,P_mean,P_std
WT1,1,39.06448865065522,,0.1892186135235283,,0.6250674923809344,,0.4464857007753779,,3.5273995134543834,,3.328392189219414,,-1.419539292757658,
WT2,1,24.748761734243228,,0.2444711744554507,,0.5038064131316008,,0.462453876018072,,3.395105807575212,,3.421453432238994,,-0.7783118229125241,
WT3,1,40.745827470558645,,0.1896653836624703,,0.6172274261720779,,0.4463627914976861,,4.185058124795065,,3.257333907775509,,1.024640034458524,
WT4,1,35.22094821834732,,0.2024968749535849,,0.5772947824512208,,0.4449109742506684,,3.428128159171536,,3.3255860318688444,,-0.9806073392250602,
WT5,1,42.46339372208561,,0.2044854931721911,,0.5981746448205637,,0.4413358958175457,,3.6737847879817,,3.404819248738099,,-0.6549759236113893,
WT6,2,37.96190898462374,27.985414043518347,0.1845437793632344,0.048879926080358974,0.5838381778524757,0.01432821494424541,0.456993537186706,0.001445372049580294,3.9532894724418073,0.30750530686233096,3.3342392106945167,0.3183894182725468,0.1394381235568143,0.5533252970734915
