subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Winf,P,p_r
WT2,16,2020-01-18 11:00:01,4.8,hyb_inf,149.33088073177998,406,0.3349176736162634,0.43059956123122217,0.460161777582043,2.5562640397391982,7.78561931669054,0.7472360853557385,0.21729016711610596
WT3,0,2020-01-02 13:00:09,4.8,hyb_inf,164.1454834327352,353,0.3040373488223412,0.40019988652635785,0.48004033904546434,2.8792631307956342,4.171023737848719,0.7012552716650075,0.35884415452550167
WT3,1,2020-01-03 13:00:02,4.8,hyb_inf,189.19246198192707,372,0.27443622043480476,0.44177810574139986,0.45850879455421334,2.6114005942052847,3.954574311083649,0.5370942049204681,0.4431948866285208
WT3,2,2020-01-04 13:00:01,4.8,hyb_inf,153.50494383924323,357,0.3149950578725034,0.4319348576683074,0.47246202616372457,2.7243836457430586,5.158682252917927,0.8034014308890213,0.29234907809788657
WT3,3,2020-01-07 13:00:09,4.8,hyb_inf,183.92431701888773,390,0.285398434197355,0.4213031281624068,0.4594064431937963,2.9520146163484013,3.9197824891806428,0.6398814071429508,0.3905042942069841
WT3,4,2020-01-08 14:07:07,4.8,hyb_inf,186.71162354266917,404,0.32554259647056394,0.41383864437607065,0.4799207661398526,3.189618432152874,4.024397111860722,0.6872183262070535,0.44747296582222573
WT3,5,2020-01-09 13:08:29,4.8,hyb_inf,167.51429042662045,380,0.316448147316273,0.45333198711749195,0.46299162853685055,2.7656835408546407,4.240388128667288,0.9534156297215405,0.34479178790738707
WT3,6,2020-01-10 13:10:02,4.8,hyb_inf,159.9320757246274,367,0.3242971118214237,0.43190870453957714,0.4535788391195355,3.224592785061316,4.396376990352913,0.7798216191636075,0.36669591899190357
WT3,7,2020-01-11 13:00:00,4.8,hyb_inf,154.4296498127901,368,0.32142503705890985,0.4047827358956897,0.48481822882222086,2.8339659343705654,4.595588232740737,0.8186378954101508,0.2998051459985108
WT3,8,2020-01-13 13:00:15,4.8,hyb_inf,163.09974909625575,330,0.33786029016969626,0.4220668038647921,0.4706974330103725,2.4285303673157532,4.026754548572998,0.5484025320996673,0.410872296041383
WT3,9,2020-01-14 13:08:00,4.8,hyb_inf,168.5484560631442,360,0.28556200265057063,0.44300945608564224,0.4280458819667977,2.6676115044895345,4.606461434855637,0.8048334064275445,0.3267098436104588
WT3,10,2020-01-15 12:43:34,4.8,hyb_inf,163.01924833016963,381,0.35283291736708183,0.4781556643505168,0.44187730236357214,2.711876284063884,4.986695701003842,0.9535016999473469,0.321997341706278
