subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,P
WT1,0,2019-12-20 16:00:06,4.6,mf_p,55.30228610100832,97,0.27720622205265943,0.5808619854560153,0.41709548935633284,3.0057709075792087,-0.48746277443235253
WT1,1,2019-12-21 09:33:10,4.6,mf_p,83.26319541484321,157,0.299000908346887,0.5158538708700928,0.42934142826105987,3.4082024922718634,-0.2466435451938805
WT1,2,2019-12-23 09:30:55,4.6,mf_p,115.36098965789509,215,0.300638376266081,0.5517095049331764,0.474162081298667,2.8225815966663514,-0.6094653112159936
WT1,3,2019-12-24 09:39:26,4.6,mf_p,107.17895064056545,207,0.3117443570566486,0.5404820043507377,0.444926998681004,3.1622913104999415,-0.17154778958686373
WT1,4,2019-12-25 09:38:22,4.6,mf_p,125.77354690003096,247,0.31118251897913324,0.41039653617239713,0.5151174988557272,3.0090858670152447,-0.09417999110693237
WT2,0,2019-12-18 17:03:09,4.6,mf_p,53.10334967493934,96,0.2868104801782813,0.5022369437143301,0.4431118905390439,2.8773057057868363,-0.8957864693336676
WT2,1,2019-12-19 10:20:58,4.6,mf_p,36.71260086371461,64,0.34369957439717175,0.563080900647468,0.4727635340776589,3.0956241083074763,-0.7000333970713911
WT2,2,2019-12-19 17:05:45,4.6,mf_p,64.11422594777225,115,0.28124986459551754,0.5285339885501826,0.43401373763213497,3.024275970324911,-0.514087574296169
WT2,3,2019-12-20 10:14:50,4.6,mf_p,56.993664945163125,104,0.3569465527473025,0.5156187813998875,0.45155251576101124,3.280979904987244,-0.3696198145833307
WT2,4,2019-12-20 17:00:08,4.6,mf_p,55.093488118547306,104,0.2989462837443959,0.5241615786662203,0.42287395453267834,3.360776155503383,0.22161758556600228
WT2,5,2019-12-21 11:14:23,4.6,mf_p,101.79631219352376,189,0.3444170657671012,0.6159068036067548,0.42599270394999517,2.9765752154133933,-0.31124544853097297
WT2,6,2019-12-23 11:36:56,4.6,mf_p,141.01743900446652,271,0.2860137746458262,0.4935000683952621,0.4513916280018652,2.9713386012262215,-1.0049471797731493
WT2,7,2019-12-24 11:23:40,4.6,mf_p,156.995440783175,297,0.28879952665627084,0.5863912823595115,0.42194435963217414,3.1487203583645864,-0.3734661442203447
WT2,8,2019-12-25 11:35:03,4.6,mf_p,106.46811075621451,203,0.3029219353500252,0.5298685503216946,0.45427473880541247,2.776772277434957,0.303787608660525
WT2,9,2019-12-26 11:23:18,4.6,mf_p,152.3683938764345,284,0.25317929612210693,0.587810302287142,0.46251404135648805,2.749325137963742,-0.6549603888633192
WT2,10,2019-12-27 11:07:56,4.6,mf_p,194.7755802547165,368,0.28828699717178485,0.5192113910888672,0.4600425294185224,2.630342714400197,-0.3041956070270085
WT3,0,2019-12-19 11:09:28,4.6,mf_p,40.11327361414191,73,0.31062388310070504,0.5452806292262405,0.42638665692239425,3.861672506236514,0.13400725708836933
WT3,1,2019-12-19 18:00:01,4.6,mf_p,35.70411948241579,66,0.37886311027631675,0.48191724393992147,0.4809429804412743,2.990541016902813,-1.0407009574778108
WT3,2,2019-12-20 11:16:09,4.6,mf_p,59.727750637181096,107,0.2724557379359588,0.49262367812021585,0.43167726524514344,3.2842302642060557,-0.32277159922143045
WT3,3,2019-12-20 18:00:01,4.6,mf_p,83.00847991047083,159,0.29810870188962457,0.5351632477404462,0.4293015962791982,3.572064562968533,0.28112693374809955
WT3,4,2019-12-21 13:01:59,4.6,mf_p,76.49992602012911,146,0.29712026533541736,0.5218489421838433,0.44380266776185684,3.637191817317931,-0.011319698895521603
WT3,5,2019-12-23 13:21:20,4.6,mf_p,53.783682340440045,99,0.35645522295211507,0.5183471524333692,0.4810106301877613,2.8055507689380614,0.3256301409642977
WT3,6,2019-12-24 13:07:02,4.6,mf_p,83.88136741740134,154,0.3035254768907121,0.5444804915058938,0.43478944845249795,2.946741770359889,-0.081800920722978
WT3,7,2019-12-25 13:14:17,4.6,mf_p,136.52253010930568,256,0.2880032904461102,0.5044664739534891,0.46470202565424595,2.7001652122931032,-0.632452113996913
WT3,8,2019-12-26 13:18:41,4.6,mf_p,95.56982955261856,182,0.3822816980048124,0.5480186481127188,0.4866760655506325,2.9364486233039333,-0.38044233514161996
WT3,9,2019-12-27 13:18:05,4.6,mf_p,150.05537172442578,279,0.2712428371922537,0.5479556271622074,0.4192251130372749,2.5852187219376974,0.08506351993205366
WT3,10,2019-12-28 13:12:36,4.6,mf_p,154.6537281375969,309,0.34511443479657267,0.5250247244498495,0.45462386328274734,3.1112076850256667,0.30909834073824316
