subject,n_sessions,WBIC_mean,WBIC_std,p_r_mean,p_r_std,i_temp_mean,i_temp_std,P_mean,P_std
WT1,1,21.38638454679145,,0.4957346725984641,,2.0213720909188417,,-0.8498865143749555,
WT2,1,21.01304646788865,,0.495851533667286,,1.9933836617919132,,-0.0054023754571892,
WT3,1,18.597563684178237,,0.5092480594608026,,2.0404821340030885,,0.5908764635741167,
WT4,1,10.404424377209557,,0.5321919733502785,,4.919448716722553,,-1.1861923293746044,
WT5,1,15.14884211325186,,0.5335506736759749,,2.298759469298951,,-0.2324905300127326,
WT6,1,32.90615901782552,,0.5126228448046449,,2.206708978627863,,0.5821638713247633,
