subject,n_sessions,n_trials_total,wbic_per_trial_mean,wbic_per_trial_std,WBIC_mean,WBIC_std,alpha_mean,alpha_std,forget_mean,forget_std,lambda_mean,lambda_std,Wmf_mean,Wmf_std,P_mean,P_std
WT1,10,2569,0.46714589865296663,0.04350718562232303,120.31325285693747,29.023899523740564,0.37245707845177234,0.03523330921182276,0.5108656119213171,0.02687635750062177,0.4804006144570169,0.027528340626028144,3.313757964466574,0.3988205389558191,0.6299967948174408,0.5373578589866403
WT2,2,693,0.5105738868994916,0.0072960294829930526,176.87515877125009,2.887379649993935,0.3172593432507095,0.014033073699932418,0.45461158297329823,0.037967037044230385,0.4507634986530052,0.013148706635838434,2.9664987848918583,0.04776367649175687,-0.0230050132394109,0.1722112673664459
WT3,3,832,0.49004301375144815,0.03191117590446731,134.5379104304595,27.344431894126394,0.3424674017279843,0.022940408537959926,0.4874003497379702,0.04046461536777261,0.4545404749244328,0.028898104462224485,3.2586425879636245,0.3609005359599033,0.2834633087301104,0.5279094319996194
WT4,8,2602,0.5113941515312636,0.011418658229434527,166.30540386326487,30.538515346153254,0.2751587878623105,0.0317075385095374,0.4702231488739342,0.03829591205372299,0.450339923190277,0.01729717889798279,3.222189261632732,0.5698257288608792,0.20259763249985316,0.15171244898388575
WT5,5,1535,0.4749388846586619,0.021916999365949315,146.24345883858734,28.65191855772724,0.3622412109244838,0.05261459752903382,0.48132946592592313,0.020587247178129688,0.4661140496179619,0.023253844114020275,3.6256878321904784,0.27332107654048665,0.11430026513466404,0.31287251807263416
WT6,7,2371,0.4378626939354448,0.04643940808656636,149.19376506559962,32.28863510522488,0.3780763542986373,0.09044448341514182,0.5069079110241731,0.08188164785831627,0.5116377384539964,0.03067095483913015,3.306047272257003,0.3295379866877625,0.8904585138955212,0.3152203265045115
