subject,session_idx,date,stage,model,WBIC,n_trials,p_r,i_temp,P
WT1,0,2019-12-19 16:11:15,4.4,ls_asym_p,18.686150089936547,102,0.559425062538249,4.46513565132493,-1.117174277352851
WT2,0,2019-12-17 17:00:01,4.4,ls_asym_p,11.132013019658308,58,0.4614990403601736,4.649399431479112,-0.9629201181494084
WT3,0,2019-12-18 11:15:07,4.4,ls_asym_p,15.535834463948538,82,0.5297690408162105,4.600600289832691,-0.18987143305847484
WT4,0,2020-03-13 15:52:16,4.4,ls_asym_p,19.351323184338685,97,0.5095930348161183,4.50181095666692,0.2036746849690266
WT5,0,2020-03-13 17:01:07,4.4,ls_asym_p,11.66688471519437,67,0.5978866495058845,4.882322050931679,-1.1355508674740589
WT6,0,2020-03-18 13:23:48,4.4,ls_asym_p,26.09525487521786,141,0.552163900973344,4.606796534095698,0.3541916767427961
