subject,session_idx,date,stage,model,WBIC,n_trials,alpha,forget,lambda,Wmf,Wmb,P
WT3,0,2019-12-30 13:00:32,4.7,hyb_p,109.72635947042552,208,0.22390332652849015,0.5917871328312697,0.46402294125812116,3.2995319759296753,3.292278550275994,-0.4258727944415787
WT3,1,2019-12-31 13:21:37,4.7,hyb_p,129.99728514933156,274,0.18946913899385623,0.4790383323893319,0.46245342525278227,3.991710820688268,3.3813660631829245,0.44772625469423455
WT3,2,2020-01-01 13:07:32,4.7,hyb_p,158.24448609765918,350,0.27712714530877547,0.5619077368356746,0.4242217696561369,2.837304119882028,3.7248180629367478,0.48772732663830604
WT4,0,2020-03-21 09:12:39,4.7,hyb_p,136.41939380952218,259,0.1461999016347998,0.5451553325558902,0.4621555377413646,3.473572553474111,2.9747945085384555,0.4024000411903031
WT4,1,2020-03-23 09:08:59,4.7,hyb_p,132.9770741088935,254,0.1810267693946421,0.531777563658618,0.4622344145490826,3.661771152285814,3.2338163075949766,0.10117428278815445
WT4,2,2020-03-24 09:27:54,4.7,hyb_p,175.02891154572467,333,0.11376522961354445,0.5791973216215641,0.4542830642026452,3.8705368311633817,3.2511712908583457,0.2708676072277859
WT4,3,2020-03-25 09:18:00,4.7,hyb_p,191.99332975489634,379,0.12171053058835236,0.47037668255441056,0.47444643248189716,4.030831777107434,3.2287633156905433,0.09032998109716951
WT4,4,2020-03-26 09:24:39,4.7,hyb_p,126.32268207508838,259,0.15504847949149564,0.40718273499598273,0.4628799379898412,4.5628655286112405,3.544364506754107,-0.010082188088633986
WT4,5,2020-03-27 09:30:39,4.7,hyb_p,174.1248404247367,347,0.16159169992408853,0.4709724062404234,0.45979816418018743,3.6188274772607634,3.046701197984548,0.046980957873752324
WT4,6,2020-03-28 09:25:59,4.7,hyb_p,202.52961467314714,400,0.1473398089926091,0.5280627112122779,0.43936550883004755,3.091454194921635,3.60105318529552,0.3057399423825595
WT4,7,2020-03-30 09:26:19,4.7,hyb_p,188.74452682332608,371,0.18854622975021137,0.5047534652007966,0.43405457050914215,3.2327838942638296,3.44809726876322,0.1400669121831345
WT5,0,2020-03-25 11:07:28,4.7,hyb_p,163.8729593041028,329,0.17639594596342947,0.470600060496645,0.4535100375465533,3.9833018349538163,3.218165006724023,-0.1734132122071025
WT5,1,2020-03-26 11:01:42,4.7,hyb_p,131.1382126436511,266,0.17715131725491715,0.48162393667875486,0.4705420643709553,3.7876189478533333,3.0997590241629718,-0.10129268835445113
WT5,2,2020-03-27 11:05:55,4.7,hyb_p,170.4896477435028,359,0.28350011436792105,0.5428244600604637,0.4629551895294541,3.6023080834985635,2.7375280549247947,0.18917560049347584
WT5,3,2020-03-28 11:04:07,4.7,hyb_p,159.02266586891295,347,0.34998656878941553,0.5662427799889634,0.45996293949069506,2.730922002445207,3.5713032719716433,-0.15769165448408157
WT5,4,2020-03-30 11:18:27,4.7,hyb_p,103.30059588963432,234,0.23967389807011322,0.5185682319013348,0.4930999496173709,3.9960302968898676,3.524101251371388,0.5297278001224338
WT6,0,2020-03-23 13:01:34,4.7,hyb_p,135.5171676382547,283,0.18182257954343659,0.5223141780296616,0.4775794407224297,3.73711173473585,3.1324501566610627,0.9817114277069782
WT6,1,2020-03-24 13:16:58,4.7,hyb_p,173.51744573802782,357,0.18048388035567567,0.4687148716634896,0.4846948437269551,3.3017841672493615,3.1461395552374567,0.4496199943756175
WT6,2,2020-03-25 13:00:23,4.7,hyb_p,167.5816055210063,362,0.22617105695128503,0.6218935858991818,0.47210799773434314,3.1310254660158647,3.1866257128212276,0.9063465516382002
WT6,3,2020-03-26 13:00:01,4.7,hyb_p,176.672008830952,387,0.2522952297286284,0.6014233528439517,0.4587534295214144,3.1313501752266526,3.398666728674802,0.5132403761910164
WT6,4,2020-03-27 13:04:11,4.7,hyb_p,144.92145504621485,372,0.43514124273376004,0.7179332100799327,0.4981359649210226,3.1336496996981067,3.139370591211553,0.5078059271011681
WT6,5,2020-03-28 12:56:13,4.7,hyb_p,86.29517729511848,234,0.34802916758077934,0.5465675281456566,0.5183182491525471,3.501688642074517,3.043936095924873,1.3957588508086454
WT6,6,2020-03-30 13:17:51,4.7,hyb_p,152.80214861402123,376,0.32048251880973927,0.556961523062825,0.5212511400641824,2.8280801895490724,3.2895397737091234,1.0754961991324201
