subject,stage,session_idx,date,trans_type,n_trials,stay_rew_com,stay_rew_rare,stay_unrew_com,stay_unrew_rare
WT4,4.7,2,2020-03-24 09:27:54,B,333,0.5454545454545454,0.2,0.6962025316455697,0.5
WT4,4.7,3,2020-03-25 09:18:00,B,379,0.6136363636363636,0.6666666666666666,0.6153846153846154,0.5789473684210527
WT4,4.7,4,2020-03-26 09:24:39,B,259,0.66,0.5294117647058824,0.5925925925925926,0.75
WT4,4.7,5,2020-03-27 09:30:39,B,347,0.6276595744680851,0.5185185185185185,0.6037735849056604,0.5
WT4,4.7,6,2020-03-28 09:25:59,B,400,0.6907216494845361,0.48148148148148145,0.5866666666666667,0.5555555555555556
WT4,4.7,7,2020-03-30 09:26:19,B,371,0.7407407407407407,0.375,0.5769230769230769,0.625
WT5,4.7,0,2020-03-25 11:07:28,A,329,0.6623376623376623,0.5882352941176471,0.5714285714285714,0.6
WT5,4.7,1,2020-03-26 11:01:42,A,266,0.7352941176470589,0.5833333333333334,0.5686274509803921,0.5
WT5,4.7,2,2020-03-27 11:05:55,A,359,0.7857142857142857,0.6470588235294118,0.5211267605633803,0.6190476190476191
WT5,4.7,3,2020-03-28 11:04:07,A,347,0.797752808988764,0.4,0.5686274509803921,0.391304347826087
WT5,4.7,4,2020-03-30 11:18:27,A,234,0.8043478260869565,0.7777777777777778,0.711864406779661,0.5
WT6,4.7,0,2020-03-23 13:01:34,B,283,0.7457627118644068,0.7058823529411765,0.703125,0.5333333333333333
WT6,4.7,1,2020-03-24 13:16:58,B,357,0.7261904761904762,0.5333333333333333,0.589041095890411,0.6521739130434783
WT6,4.7,2,2020-03-25 13:00:23,B,362,0.8137254901960784,0.6521739130434783,0.640625,0.5454545454545454
WT6,4.7,3,2020-03-26 13:00:01,B,387,0.8192771084337349,0.5263157894736842,0.7093023255813954,0.5
WT6,4.7,4,2020-03-27 13:04:11,B,372,0.898989898989899,0.75,0.6,0.5
WT6,4.7,5,2020-03-28 12:56:13,B,234,0.9298245614035088,0.7777777777777778,0.717391304347826,0.6153846153846154
WT6,4.7,6,2020-03-30 13:17:51,B,376,0.8928571428571429,0.5454545454545454,0.6756756756756757,0.7272727272727273
WT1,4.8,0,2020-01-07 09:13:51,A,308,0.9014084507042254,0.6428571428571429,0.44642857142857145,0.7
WT1,4.8,1,2020-01-08 09:12:32,A,343,0.9027777777777778,0.2857142857142857,0.64,0.7727272727272727
WT1,4.8,2,2020-01-09 09:08:36,A,374,0.8571428571428571,0.26666666666666666,0.6,0.72
WT1,4.8,3,2020-01-10 09:23:07,A,330,0.8860759493670886,0.3076923076923077,0.65625,0.5652173913043478
WT1,4.8,4,2020-01-11 09:11:53,A,337,0.8144329896907216,0.2857142857142857,0.5714285714285714,0.8
WT1,4.8,5,2020-01-13 09:25:05,A,318,0.9113924050632911,0.2727272727272727,0.6440677966101694,0.5909090909090909
WT1,4.8,6,2020-01-14 09:00:32,A,349,0.9270833333333334,0.08333333333333333,0.6779661016949152,0.5714285714285714
WT1,4.8,7,2020-01-15 08:54:56,A,318,0.9375,0.4,0.6521739130434783,0.5555555555555556
WT1,4.8,8,2020-01-16 09:07:00,A,334,0.8876404494382022,0.4444444444444444,0.5272727272727272,0.7391304347826086
WT1,4.8,9,2020-01-17 09:29:45,A,382,0.96,0.23076923076923078,0.6125,0.6666666666666666
WT1,4.8,10,2020-01-18 09:17:25,A,327,0.9078947368421053,0.4666666666666667,0.6756756756756757,0.7333333333333333
WT2,4.8,0,2019-12-31 11:32:14,B,382,0.7373737373737373,0.5,0.5142857142857142,0.8095238095238095
WT2,4.8,1,2020-01-01 11:00:00,B,399,0.69,0.4375,0.5735294117647058,0.6153846153846154
WT2,4.8,2,2020-01-02 11:00:01,B,400,0.6588235294117647,0.3793103448275862,0.6351351351351351,0.625
WT2,4.8,3,2020-01-03 11:00:04,B,424,0.696969696969697,0.42105263157894735,0.6162790697674418,0.75
WT2,4.8,4,2020-01-04 11:00:02,B,444,0.8303571428571429,0.26666666666666666,0.6666666666666666,0.5666666666666667
WT2,4.8,5,2020-01-06 11:00:01,B,370,0.8604651162790697,0.6111111111111112,0.7466666666666667,0.65
WT2,4.8,6,2020-01-07 11:01:05,B,416,0.9183673469387755,0.5217391304347826,0.6388888888888888,0.7931034482758621
WT2,4.8,7,2020-01-08 11:00:07,B,404,0.918918918918919,0.6153846153846154,0.6027397260273972,0.8
WT2,4.8,8,2020-01-09 11:00:01,B,450,0.9026548672566371,0.20833333333333334,0.6266666666666667,0.6451612903225806
WT2,4.8,9,2020-01-10 11:08:45,B,413,0.8910891089108911,0.38461538461538464,0.6744186046511628,0.65
WT2,4.8,10,2020-01-11 11:00:07,B,462,0.8962264150943396,0.17857142857142858,0.8,0.5882352941176471
WT2,4.8,11,2020-01-13 11:04:47,B,417,0.900990099009901,0.14285714285714285,0.6666666666666666,0.4583333333333333
WT2,4.8,12,2020-01-14 11:00:03,B,473,0.8770491803278688,0.2857142857142857,0.5694444444444444,0.7777777777777778
WT2,4.8,13,2020-01-15 10:51:12,B,468,0.825,0.2727272727272727,0.6547619047619048,0.6060606060606061
WT2,4.8,14,2020-01-16 10:48:53,B,459,0.8943089430894309,0.14285714285714285,0.6265060240963856,0.6206896551724138
WT2,4.8,15,2020-01-17 11:07:02,B,491,0.905982905982906,0.42105263157894735,0.7281553398058253,0.6153846153846154
WT2,4.8,16,2020-01-18 11:00:01,B,406,0.8969072164948454,0.0,0.7368421052631579,0.6428571428571429
WT3,4.8,0,2020-01-02 13:00:09,A,353,0.782051282051282,0.5263157894736842,0.6388888888888888,0.7
WT3,4.8,1,2020-01-03 13:00:02,A,372,0.7058823529411765,0.2777777777777778,0.5945945945945946,0.5909090909090909
WT3,4.8,2,2020-01-04 13:00:01,A,357,0.8518518518518519,0.42105263157894735,0.7575757575757576,0.72
WT3,4.8,3,2020-01-07 13:00:09,A,390,0.7368421052631579,0.4090909090909091,0.6231884057971014,0.5833333333333334
WT3,4.8,4,2020-01-08 14:07:07,A,404,0.8072289156626506,0.6111111111111112,0.6896551724137931,0.5625
WT3,4.8,5,2020-01-09 13:08:29,A,380,0.8064516129032258,0.5,0.7,0.6923076923076923
