pair,df_stage,df_error,F,p,p_bonf,partial_eta2,sig
4.6 vs 4.7,1,5,24.058260608779317,0.004455378166187907,0.01336613449856372,0.8279318894094659,*
4.6 vs 4.8,1,5,58.18340080072742,0.0006158607770793134,0.0018475823312379402,0.9208652915697055,**
4.7 vs 4.8,1,5,23.959129261588725,0.004494705052488723,0.01348411515746617,0.8273428750279457,*
