Subject,Cross validation,alpha,forget,lambda,Wmb,P
WT1,0.49330650307065743,0.0620710946711186,0.6036964831003886,0.4999048089067145,3.460898469328549,-0.07258742747319134
WT2,0.49940538303628224,0.007656250340275617,0.04787489275680623,0.5004659596418446,3.414659922420677,-0.08152424443023713
WT3,0.5082009020225838,0.00626574134153679,0.013454290836501737,0.4935461496595771,7.952598747899864,0.16694095855723576
WT4,0.4933936223299702,0.004436328468474082,0.01993705117212441,0.4999693824544774,6.730553472368382,0.4494587525979254
WT5,0.5018776245552491,0.005948549072948506,0.049178371515654073,0.4999239034191427,9.095066870237757,0.4355829283179015
WT6,0.5349030443179671,0.027264021819622064,0.06397609602184007,0.4999783927790934,3.552930041474106,0.7368719113087291
