Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb,P,alpha_c
WT1,0.5955287717071526,0.6417464864120479,0.7090617729520896,0.754597411461673,0.27592618247293216,3.3958835075711864,1.3053228372722658,0.29438051107294616
WT2,0.5870992982213392,0.6268423598461393,0.740751476319224,0.07831375836507792,0.1598031432572294,2.7157184903795843,2.8539617621724807,0.16852637106615953
WT3,0.5662898376072422,0.10763990094576237,0.45685359502539946,0.28532159585721184,2.5750153716763258,5.670952807146209,0.6871615126023214,0.8954459087909921
WT4,0.5960768316163891,0.2125704853959839,0.3291842552924724,0.4810080261720452,1.2334856723621928,4.252155233269567,0.8685233220651243,0.7597042773866796
WT5,0.5690721816452647,0.30060821467837073,0.473036994818396,0.8437068688624776,1.0390972051957974,2.799301717633812,0.693363941657767,0.866102066402746
WT6,0.639605085075523,0.27297321425761145,0.5053095189970133,0.9597340777692426,2.0829226092239734,3.2709027148165353,1.1631632664792575,0.9445827997230207
