Subject,Cross validation,p_r,eps
WT1,0.49445738821725876,0.4718384091213008,0.4337391436686969
WT2,0.4994877389634123,0.5535323400611899,0.34396729827642275
WT3,0.4989463030694434,0.46311228035145424,0.39855366825427746
WT4,0.5002661103378023,0.6062516521597019,0.08491750054783559
WT5,0.5036625490678495,0.6616226215642963,0.030555035337516634
WT6,0.4872245699192434,0.5369230595830083,0.38470011221460226
