Subject,Cross validation,alpha,forget,lambda,Wmf,Wmb,P
WT1,0.5492698172406173,0.100794599721724,0.46209859948801135,0.5333632757493775,3.3175417299063934,4.3217549219032865,0.6912723756507977
WT2,0.523414584215778,0.03443741446117965,0.07831630413582868,0.37938143394741275,1.6760931132685852,5.708930162689324,0.37090790000290275
WT3,0.5263881149948896,0.02870431499601822,0.1255061558880961,0.8638343293950085,4.013702545821225,3.128499173118917,0.41379793069888793
WT4,0.5249897152254318,0.014268997615238144,0.04918466902403951,0.9095525004596847,5.336724270716041,1.911612446542579,0.3953863054670691
WT5,0.5469924065701435,0.05876648066966328,0.1763299857515881,0.8268149206523926,4.1606048045667,1.9461330156313685,0.2661816582026854
WT6,0.563805041592223,0.09175479924225494,0.158049688227911,0.6882845098651302,2.698530068325595,1.9171029221198455,1.2630161021306503
