Subject,Cross validation,alpha,forget,lambda,Wmb,P,alpha_c
WT1,0.595665525423211,0.6442979209793884,0.6965243602742962,0.5000269328754935,3.5769855474536514,1.4651853033324136,0.3177728337077721
WT2,0.5872035363168943,0.5980615773820461,0.7400483880739122,0.49956932462714654,2.863687078081896,2.907428826058994,0.17202537740779544
WT3,0.5684149187203367,0.28257997471337204,0.7437023322617944,0.5008531058709983,3.6179851332374913,2.301283300084375,0.22324855147436828
WT4,0.5977712867036769,0.4297395016263825,0.5612522595611072,0.463390080877781,3.527981965236846,2.6259305263691353,0.23092669424052803
WT5,0.5694130249596424,0.6353677657014538,0.7695637741152538,0.4998025517947836,2.2934852034250808,2.347844079252081,0.2843412052218768
WT6,0.6339202754124484,0.23851634151346746,0.28991506947950996,0.464296713096191,4.403432164236415,2.3043394257001593,0.7701891926185086
