Subject,Cross validation,alpha,forget,lambda,Wmf,P,alpha_c
WT1,0.5463138287570379,0.12606522036902312,0.2309939406539061,0.8503450316516514,2.443837133245314,0.979968895902212,0.8333989421083186
WT2,0.5133523966825808,0.10264244651244048,0.05112047607511594,0.3753300118121099,2.2339930599727897,0.7802035245312399,0.5709786800109767
WT3,0.5256376601518891,0.06172581827230572,0.10216738490939892,0.45062198763402084,4.12687404018357,0.47986412821563573,0.6817018220015372
WT4,0.5225289661015184,0.03320444285882351,0.0008850444134889113,0.48340641205872414,2.9709418653051776,1.43462313000954,0.22604725724658825
WT5,0.5464726784142121,0.09877589750135485,0.14549036048901043,0.6965029048422005,3.6060703080893775,0.35068047843544875,0.6709766532953451
WT6,0.5666542871294283,0.14094500803440768,0.05713340834441394,0.7821524811784667,2.1149707652735916,1.5254669643175838,0.877255253990938
