Subject,Cross validation,alpha,forget,lambda,Wmf,Winf,P,p_r
WT1,0.48907596434497014,0.03684105355501266,0.0259641106678693,0.07104010694339402,4.038907002824395,2.5056067727153857,-0.1319947369360898,0.4189109624735521
WT2,0.5062345978606139,0.027526308541764632,0.07914462722629934,0.17281757831029643,8.078708350138808,3.693045080079944,-0.0719076543255816,0.6521588143306478
WT3,0.5146534417149777,0.03640284215022416,0.04834068559700977,0.06723809583036822,6.302263221406766,1.8983778697949218,0.09414478493084023,0.6380923014588734
WT4,0.5236551077562752,0.029892573332655603,0.06980170203797054,0.09502535764433728,9.825055615022427,3.629850839647541,0.2507255468700756,0.6176533528112923
WT5,0.5288410733957696,0.04441050845808747,0.10299227414193746,0.02015797342700376,12.576979940333532,7.971459443010801,0.33665419118769,0.6598729790949498
WT6,0.5294101746071685,0.01657800402713505,0.0035673053552914835,0.9311705815792668,8.139784139077815,2.957283755626715,0.33088322777688417,0.38294333992431284
