Subject,Cross validation,p_r,beta,P
WT1,0.44546830839737644,0.10677832525810449,0.33496213869120306,0.7401631077611636
WT2,0.47387166871464936,1.1023434703938406e-05,0.3741056783562482,0.7257467607192748
WT3,0.48612892886687925,0.008844452691515459,0.3956385968642139,0.9997744705510804
WT4,0.4864165947935727,5.03942021778947e-07,0.43025368889775084,0.9999834730790046
WT5,0.45327823446989096,0.057129524007124455,0.35696143557877114,0.775192446778222
WT6,0.4219759344605363,0.007643605920156005,0.3574375813011733,0.9999990629817346
