Subject,Cross validation,p_r,beta,P
WT1,0.5343522526933754,0.2132941499895138,3.018746409511053e-07,0.2862079368580219
WT2,0.5287225951034971,0.07060893867248774,0.2517407166738337,0.5718151454350904
WT3,0.5300014614682127,0.0018397041986389917,0.35370332222356704,0.8966569249326658
WT4,0.560029938230609,0.005768065975911951,0.28845348431859874,0.689358477140785
WT5,0.5367122808373251,0.06494857463862413,0.2929121798881007,0.6917279790929375
WT6,0.5687680819047446,0.003351915494786084,0.2990240077497295,0.9999998599142873
